paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
lacher1997,Abstract,v0.2.0-alpha,"gold mining",gold_mining,No,"mercury pollution",mercury_use,"These include large-scale agricultural activities, especially banana, pineapple, and soybean farming, and gold mining with the associated heavy use of mercury. ",Yes,Subject→Object,Positive,"General",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Pantropical ecotoxicology review (1997)",Review,Association,"Tropics, NA",Region,"pre-1997 review window",multi-year,"Tropics, NA; General",Aquatic ecosystem
lacher1997,Discussion,v0.2.0-alpha,"lack of enforcement",weak_governance,No,"unregulated gold mining",enforcement_and_other_barriers_to_entry,"Where mercury has been released into the aquatic system as a result of unregulated gold mining, subsequent contamination of invertebrates, fish, and birds has been detected; biomagnification of mercury was documented from gastropod mollusks (Ampullaria sp.) to accipiters (Rostrhamus sociabilis) and from invertebrates and fish to waterbirds and humans [25, 26].",Yes,Subject→Object,Negative,"General",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Pantropical ecotoxicology review (1997)",Review,Association,"Tropics, NA",Region,"pre-1997 review window",multi-year,"Tropics, NA; General",Human
lacher1997,Discussion,v0.2.0-alpha,"unregulated gold mining",mercury_use,No,"mercury pollution",aquatic_mercury_pollution,"Where mercury has been released into the aquatic system as a result of unregulated gold mining, subsequent contamination of invertebrates, fish, and birds has been detected; biomagnification of mercury was documented from gastropod mollusks (Ampullaria sp.) to accipiters (Rostrhamus sociabilis) and from invertebrates and fish to waterbirds and humans [25, 26].",Yes,Subject→Object,Positive,"General",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Pantropical ecotoxicology review (1997)",Review,Association,"Tropics, NA",Region,"pre-1997 review window",multi-year,"Tropics, NA; General",Aquatic ecosystem
lacher1997,Discussion,v0.2.0-alpha,"mercury pollution",aquatic_mercury_pollution,No,"bioaccumulation of mercury in animals",mercury_bio_accumulation,"Where mercury has been released into the aquatic system as a result of unregulated gold mining, subsequent contamination of invertebrates, fish, and birds has been detected; biomagnification of mercury was documented from gastropod mollusks (Ampullaria sp.) to accipiters (Rostrhamus sociabilis) and from invertebrates and fish to waterbirds and humans [25, 26].",Yes,Subject→Object,Positive,"General",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Pantropical ecotoxicology review (1997)",Review,Association,"Tropics, NA",Region,"pre-1997 review window",multi-year,"Tropics, NA; General",Aquatic ecosystem
lacher1997,Discussion,v0.2.0-alpha,"mercury bioaccumulation in fish",mercury_bio_accumulation,No,"human health risk",human_health,"Mercury contamination of fish used as a local food source or as an exportable commodity is both an ecological and socioeconomic issue. Alho and Vieira [26] found that 50% of the fish from the Cuibá River and 35% from the Bento Gomes River in the Brazilian Pantanal had mercury concentrations exceeding international standards for consumption.",Yes,Subject→Object,Negative,"General",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Pantropical ecotoxicology review (1997)",Review,Association,"Tropics, NA",Region,"pre-1997 review window",multi-year,"Tropics, NA; General",Aquatic ecosystem
lacher1997,Discussion,v0.2.0-alpha,"mercury pollution",aquatic_mercury_pollution,No,"mercury accumulation in hair",mercury_bio_accumulation,"Pfeiffer et al. [25] observed high concentrations of mercury (> 70 mg/g) in the hair of individuals consuming fish along a tributary of the Amazon where mercury was being used in gold mining activity; no data are available on mercury poisoning in these populations.",Yes,Subject→Object,Positive,"General",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Pantropical ecotoxicology review (1997)",Review,Association,"Tropics, NA",Region,"pre-1997 review window",multi-year,"Tropics, NA; General",Aquatic ecosystem
lacher1997,Discussion,v0.2.0-alpha,"lack of enforcement",informality,No,"asgm influx",enforcement_and_other_barriers_to_entry,"Gold mining has expanded in many tropical countries. In most cases it is unregulated, and the amount of mercury released into the environment during these operations is a major health hazard for wildlife and humans in several parts of Brazil [25, 26]. Larger mining operations tend to be less problematic than very small-scale, local operations, which are almost impossible to regulate. Almost all are located near rivers high in organic material that favors the formation of organic methyl mercury [80]. Even small mines can be located fairly easily with aerial photographs, and areas of potential contamination can be identified.",Yes,Subject→Object,Negative,"General",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Pantropical ecotoxicology review (1997)",Review,Association,"Tropics, NA",Region,"pre-1997 review window",multi-year,"Tropics, NA; General",Human
lacher1997,Discussion,v0.2.0-alpha,"asgm influx",miner_influx,No,"gold mining",gold_mining,"Gold mining has expanded in many tropical countries. In most cases it is unregulated, and the amount of mercury released into the environment during these operations is a major health hazard for wildlife and humans in several parts of Brazil [25, 26]. Larger mining operations tend to be less problematic than very small-scale, local operations, which are almost impossible to regulate. Almost all are located near rivers high in organic material that favors the formation of organic methyl mercury [80]. Even small mines can be located fairly easily with aerial photographs, and areas of potential contamination can be identified.",Yes,Subject→Object,Positive,"General",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Pantropical ecotoxicology review (1997)",Review,Association,"Tropics, NA",Region,"pre-1997 review window",multi-year,"Tropics, NA; General",Aquatic ecosystem
lacher1997,Discussion,v0.2.0-alpha,"gold mining",gold_mining,No,"mercury pollution",mercury_use,"Gold mining has expanded in many tropical countries. In most cases it is unregulated, and the amount of mercury released into the environment during these operations is a major health hazard for wildlife and humans in several parts of Brazil [25, 26]. Larger mining operations tend to be less problematic than very small-scale, local operations, which are almost impossible to regulate. Almost all are located near rivers high in organic material that favors the formation of organic methyl mercury [80]. Even small mines can be located fairly easily with aerial photographs, and areas of potential contamination can be identified.",Yes,Subject→Object,Positive,"General",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Pantropical ecotoxicology review (1997)",Review,Association,"Tropics, NA",Region,"pre-1997 review window",multi-year,"Tropics, NA; General",Aquatic ecosystem
lacher1997,Discussion,v0.2.0-alpha,"mercury pollution",aquatic_mercury_pollution,No,"mercury accumulation in hair",mercury_bio_accumulation,"Given the high toxicity of mercury and the enormous quantities utilized in gold mining operations, research on the environmental consequences of mercury use in the tropics is a very high priority. Because of the tendency of mercury to bioaccumulate, special emphasis should be placed on studies of predatory fish (many of which are consumed by humans), piscivorous birds, raptors, and other top predators. Many of these top predators might serve as keystone species and be responsible for structuring community patterns and influencing community processes [81, 82]. Mercury contamination has been documented in isolated regions of the Amazon [25]. It will become increasingly difficult to describe the structure and function of undisturbed tropical aquatic communities if the use of mercury remains unregulated and unstudied.",Yes,Subject→Object,Positive,"General",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Pantropical ecotoxicology review (1997)",Review,Association,"Tropics, NA",Region,"pre-1997 review window",multi-year,"Tropics, NA; General",Aquatic ecosystem
