paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
tarras-wahlberg2001,Abstract,v0.2.0-alpha,"gold mining",gold_mining,No,"mercury pollution",mercury_use,"Gold mining in the Portovelo-Zaruma district in southern Ecuador is causing considerable environmental impacts; the most important ones are related to the discharge of cyanide, mercury and metal rich tailings into rivers of the Puyango catchment area. ",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"River sampling (water, sediment, biota) downstream of ASGM",Observation,Association,"Ecuador, Portovelo-Zaruma district in southern Ecuador",Country,"late 1990s sampling",snapshot,"Ecuador, Portovelo-Zaruma district in southern Ecuador; Informal / ASGM",Aquatic ecosystem
tarras-wahlberg2001,Abstract,v0.2.0-alpha,"gold mining",gold_mining,No,"cyanide pollution",cyanide_use,"Gold mining in the Portovelo-Zaruma district in southern Ecuador is causing considerable environmental impacts; the most important ones are related to the discharge of cyanide, mercury and metal rich tailings into rivers of the Puyango catchment area. Cyanide and metal levels in rivers regularly exceed environmental quality criteria.",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"River sampling (water, sediment, biota) downstream of ASGM",Observation,Association,"Ecuador, Portovelo-Zaruma district in southern Ecuador",Country,"late 1990s sampling",snapshot,"Ecuador, Portovelo-Zaruma district in southern Ecuador; Informal / ASGM",Aquatic ecosystem
tarras-wahlberg2001,Abstract,v0.2.0-alpha,"gold mining",mercury_use,No,"metal-rich tailings pollution",mercury_contaminated_tailings,"Gold mining in the Portovelo-Zaruma district in southern Ecuador is causing considerable environmental impacts; the most important ones are related to the discharge of cyanide, mercury and metal rich tailings into rivers of the Puyango catchment area. Cyanide and metal levels in rivers regularly exceed environmental quality criteria.",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"River sampling (water, sediment, biota) downstream of ASGM",Observation,Association,"Ecuador, Portovelo-Zaruma district in southern Ecuador",Country,"late 1990s sampling",snapshot,"Ecuador, Portovelo-Zaruma district in southern Ecuador; Informal / ASGM",Aquatic ecosystem
tarras-wahlberg2001,Abstract,v0.2.0-alpha,"cyanide pollution",cyanide_use,No,"biodiversity loss",cyanide_pollution,"The contamination impacts biodiversity, with cyanide causing a direct lethal effect on biota close to source and metal contaminants considerably reducing aquatic biodiversity further downstream. ",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"River sampling (water, sediment, biota) downstream of ASGM",Observation,Association,"Ecuador, Portovelo-Zaruma district in southern Ecuador",Country,"late 1990s sampling",snapshot,"Ecuador, Portovelo-Zaruma district in southern Ecuador; Informal / ASGM",Aquatic ecosystem
tarras-wahlberg2001,Abstract,v0.2.0-alpha,"mercury pollution",aquatic_mercury_pollution,No,"mercury bio-accumulation in fish",mercury_bio_accumulation,"Mercury levels exceeded 0.5 mg/kg in fish from both contaminated and uncontaminated sites, showing that both methylation and bioaccumulation of mercury are occurring in the Puyango river basin.",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"River sampling (water, sediment, biota) downstream of ASGM",Observation,Association,"Ecuador, Portovelo-Zaruma district in southern Ecuador",Country,"late 1990s sampling",snapshot,"Ecuador, Portovelo-Zaruma district in southern Ecuador; Informal / ASGM",Aquatic ecosystem
tarras-wahlberg2001,Introduction,v0.2.0-alpha,"commerical mine closure",commerical_mine_closure,No,"asgm influx",miner_influx," From approximately 1950, the mine was operated by the Ecuadorian government but with ever diminishing economical returns. Finally, in 1984, the Portovelo mine was invaded by small-scale miners, largely individuals who had lost their jobs as the fortunes of the Portovelo mine declined. Since then, mining in the area has been based upon artisanal and semi-mechanised activities, conducted by a large number of small-scale operators.",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"River sampling (water, sediment, biota) downstream of ASGM",Observation,Association,"Ecuador, Portovelo-Zaruma district in southern Ecuador",Country,"late 1990s sampling",snapshot,"Ecuador, Portovelo-Zaruma district in southern Ecuador; Informal / ASGM",Aquatic ecosystem
tarras-wahlberg2001,Introduction,v0.2.0-alpha,"asgm influx",miner_influx,No,"gold mining",gold_mining," From approximately 1950, the mine was operated by the Ecuadorian government but with ever diminishing economical returns. Finally, in 1984, the Portovelo mine was invaded by small-scale miners, largely individuals who had lost their jobs as the fortunes of the Portovelo mine declined. Since then, mining in the area has been based upon artisanal and semi-mechanised activities, conducted by a large number of small-scale operators.",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"River sampling (water, sediment, biota) downstream of ASGM",Observation,Association,"Ecuador, Portovelo-Zaruma district in southern Ecuador",Country,"late 1990s sampling",snapshot,"Ecuador, Portovelo-Zaruma district in southern Ecuador; Informal / ASGM",Aquatic ecosystem
tarras-wahlberg2001,Introduction,v0.2.0-alpha,"weak enforcement",weak_governance_and_bad_policies,No,"gold mining",enforcement_and_other_barriers_to_entry,"Local environmental regulations of how mining and processing should be performed in an environmentally responsible way exist, although the present situation is characterised by an almost total absence of adherence to these regulations, such that tailings and processing chemicals can be discharged either directly or indirectly, via deficient tailings impoundments, to nearby rivers.",Yes,Subject→Object,Negative,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"River sampling (water, sediment, biota) downstream of ASGM",Observation,Association,"Ecuador, Portovelo-Zaruma district in southern Ecuador",Country,"late 1990s sampling",snapshot,"Ecuador, Portovelo-Zaruma district in southern Ecuador; Informal / ASGM",Human
tarras-wahlberg2001,Introduction,v0.2.0-alpha,"gold mining",mercury_contaminated_tailings,No,"mercury pollution",aquatic_mercury_pollution," In 1999, an inventory of the area estimated that the solid component of tailings that escaped to rivers amounted to a total of approximately 160 000 tons of material (SGAB-Prodeminca, 2000). Approximately 33 000 tons were found to be associated with slurries laden with mercury and metals which are discharged from milling and amalgamation activities. The remaining 127 000 tons were associated with metal and cyanide rich slurries discharged from cyanidation plants (SGAB-Prodeminca, 2000).",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"River sampling (water, sediment, biota) downstream of ASGM",Observation,Association,"Ecuador, Portovelo-Zaruma district in southern Ecuador",Country,"late 1990s sampling",snapshot,"Ecuador, Portovelo-Zaruma district in southern Ecuador; Informal / ASGM",Aquatic ecosystem
tarras-wahlberg2001,Introduction,v0.2.0-alpha,"gold mining",cyanide_use,No,"cyanide pollution",cyanide_pollution," In 1999, an inventory of the area estimated that the solid component of tailings that escaped to rivers amounted to a total of approximately 160 000 tons of material (SGAB-Prodeminca, 2000). Approximately 33 000 tons were found to be associated with slurries laden with mercury and metals which are discharged from milling and amalgamation activities. The remaining 127 000 tons were associated with metal and cyanide rich slurries discharged from cyanidation plants (SGAB-Prodeminca, 2000).",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"River sampling (water, sediment, biota) downstream of ASGM",Observation,Association,"Ecuador, Portovelo-Zaruma district in southern Ecuador",Country,"late 1990s sampling",snapshot,"Ecuador, Portovelo-Zaruma district in southern Ecuador; Informal / ASGM",Aquatic ecosystem
