paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
obeidat2013,Results,v0.2.0-alpha,"""parity ≥ 2""",parity,No,"""successful VBAC""",vbac_success,"""Parity of two or more was significantly associated with increased odds of VBAC success (OR = 2.7; 95% CI: 1.2, 6.2)""",Yes,Subject→Object,Positive,"""Jordanian women with single previous low-transverse CS and spontaneous labour""",Population-specific,"""significantly""",Asserted,,"""OR 2.7 (1.2, 6.2), p=0.016""",odds ratio,2.7,95% CI,1.2-6.2,Original to this study,,"""Retrospective cohort with binary logistic regression""",Statistical modelling,Association,"""Two tertiary hospitals in North Jordan""",Country,"""January 2008 to February 2010""",multi-year,"""207 women with single previous low-transverse CS attempting VBAC""",Human
obeidat2013,Results,v0.2.0-alpha,"""previous VBAC""",prior_successful_vbac,No,"""successful VBAC""",vbac_success,"""women with previous VBAC had higher odds to achieve VBAC success (OR = 3.8; 95% CI: 1.5, 9.5)""",Yes,Subject→Object,Positive,"""Jordanian women""",Population-specific,"""significantly""",Asserted,,"""OR 3.8 (1.5, 9.5), p=0.004""",odds ratio,3.8,95% CI,1.5-9.5,Original to this study,,"""Retrospective cohort with binary logistic regression""",Statistical modelling,Association,"""North Jordan""",Country,"""2008–2010""",multi-year,"""207 women attempting VBAC""",Human
obeidat2013,Results,v0.2.0-alpha,"""maximal cervical dilatation ≥ 7 cm at time of previous caesarean""",cervical_dilation_at_prior_cs [UNVERIFIED],No,"""successful VBAC""",vbac_success,"""Women who achieved a maximal cervical dilatation of ≥7 cm at the time of previous caesarean were more likely to achieve VBAC success (OR = 5.9; 95% CI: 1.9, 18.3)""",Yes,Subject→Object,Positive,"""compared with maximal cervical dilatation < 7 cm""",Unconditional,"""significantly""",Asserted,"""[FLAG] novel subject code: cervical_dilation_at_prior_cs.""","""OR 5.9 (1.9, 18.3), p=0.002""",odds ratio,5.9,95% CI,1.9-18.3,Original to this study,,"""Retrospective cohort with binary logistic regression""",Statistical modelling,Association,"""North Jordan""",Country,"""2008–2010""",multi-year,"""207 women attempting VBAC""",Human
obeidat2013,Results,v0.2.0-alpha,"""inter-pregnancy interval > 2 years""",inter_delivery_interval,No,"""successful VBAC""",vbac_success,"""VBAC success rate was significantly associated with [...] inter-pregnancy interval [...] >2 years 65% vs ≤2 years 47%, p=0.018""",Yes,Subject→Object,Positive,"""Jordanian women, univariate analysis (not significant in multivariate)""",Unconditional,"""significantly""",Probable,"""Direction OPPOSITE to typical literature finding (Esposito 2000 suggested shorter interval lowers success). Likely confounded by parity.""","""univariate p=0.018; not significant in multivariate""",p-value only,Not reported,Not reported,Not reported,Original to this study,,"""Univariate chi-square""",Statistical modelling,Association,"""North Jordan""",Country,"""2008–2010""",multi-year,"""207 women attempting VBAC""",Human
obeidat2013,Results,v0.2.0-alpha,"""maternal age ≥ 30 years""",maternal_age,No,"""successful VBAC""",vbac_success,"""maternal age ≥30 years was 64% [vs <30 years 52%] p=0.113""",No,Subject→Object,Indeterminate,"""univariate analysis""",Unconditional,"""not significant""",Possible,"""Direction in this study (older = more success) opposite to most literature; authors attribute to higher parity in older group.""","""success rate 64% vs 52%, p=0.113""",proportion,64%,Not reported,Not reported,Original to this study,,"""Univariate chi-square""",Statistical modelling,Association,"""North Jordan""",Country,"""2008–2010""",multi-year,"""207 women attempting VBAC""",Human
obeidat2013,Results,v0.2.0-alpha,"""birth weight (≥ 4,000 g)""",macrosomia,No,"""successful VBAC""",vbac_success,"""Birth weight (g) ≥4,000 [...] 8 (38%) success [...] p=0.142""",No,Subject→Object,Indeterminate,"""univariate analysis""",Unconditional,"""not significant""",Possible,,"""success 38% vs 59% for 2,500–4,000, NS""",proportion,38%,Not reported,Not reported,Original to this study,,"""Univariate chi-square""",Statistical modelling,Association,"""North Jordan""",Country,"""2008–2010""",multi-year,"""207 women attempting VBAC""",Human
obeidat2013,Results,v0.2.0-alpha,"""indications for previous caesarean (failure to progress / cephalopelvic disproportion)""",prior_caesarean_indication_recurring,No,"""successful VBAC""",vbac_success,"""previous caesarean delivery for recurrent indications (48.6%)""",Yes,Subject→Object,Negative,"""univariate categorical comparison; not statistically significant overall (p=0.361)""",Unconditional,"""not significant""",Possible,"""Authors note direction consistent with literature; size of effect small in this study.""","""recurrent 48.6% vs non-recurrent 65.5%/52.2%, p=0.361""",proportion,48.6%,Not reported,Not reported,Original to this study,,"""Univariate chi-square""",Statistical modelling,Association,"""North Jordan""",Country,"""2008–2010""",multi-year,"""207 women attempting VBAC""",Human
obeidat2013,Results,v0.2.0-alpha,"""labour induction for previous caesarean delivery""",induction_of_labour,No,"""successful VBAC""",vbac_success,"""Labour induction for previous caesarean delivery [...] Yes 13 (42%) [...] p=0.076""",No,Subject→Object,Indeterminate,"""univariate""",Unconditional,"""not significant""",Possible,,"""success 42% with prior induction vs 59% without, p=0.076""",proportion,42%,Not reported,Not reported,Original to this study,,"""Univariate chi-square""",Statistical modelling,Association,"""North Jordan""",Country,"""2008–2010""",multi-year,"""207 women attempting VBAC""",Human
obeidat2013,Results,v0.2.0-alpha,"""previous elective vs previous emergency caesarean section""",prior_caesarean_indication_recurring,No,"""successful VBAC""",vbac_success,"""The VBAC success rate was not significantly different between women who had a previous elective caesarean section (57.7%) and those who had a previous emergency caesarean section (56.1%).""",No,Subject→Object,Indeterminate,"""univariate""",Unconditional,"""not significantly different""",Possible,"""[FLAG] Conflicts with Knight 2013 finding that emergency primary CS is associated with lower success.""","""57.7% vs 56.1%, NS""",proportion,57.7%,Not reported,Not reported,Original to this study,,"""Univariate chi-square""",Statistical modelling,Association,"""North Jordan""",Country,"""2008–2010""",multi-year,"""207 women attempting VBAC""",Human
obeidat2013,Results,v0.2.0-alpha,"""trial of labour after caesarean""",uterine_rupture,Yes,,,"""there was no reported uterine rupture or dehiscence""",No,Indeterminate,Indeterminate,"""Jordanian cohort""",Population-specific,"""no reported""",Asserted,"""subject_trend_only=Yes: incidence reported, no predictor relationship.""","""0 cases in 207 attempted VBAC""",count,0,Not reported,Not reported,Original to this study,,"""Retrospective chart review""",Observation,Association,"""North Jordan""",Country,"""2008–2010""",multi-year,"""207 women attempting VBAC""",Human
obeidat2013,Results,v0.2.0-alpha,"""failed VBAC""",tolac_failure,No,"""Apgar score at 1 min""",apgar_score,"""the average Apgar score at 1 min was significantly (p=0.005) lower for babies born to women who had failed VBAC (mean (SD) = 8.2 (0.6)) compared with those who were born for women with successful VBAC (mean (SD) = 8.6 (0.7))""",Yes,Subject→Object,Negative,"""Jordanian cohort""",Population-specific,"""significantly""",Asserted,,"""mean 8.2 (0.6) vs 8.6 (0.7), p=0.005""",mean difference,-0.4,Not reported,Not reported,Original to this study,,"""Univariate t-test""",Statistical modelling,Association,"""North Jordan""",Country,"""2008–2010""",multi-year,"""207 women attempting VBAC""",Human
