paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
bhide2016,Results,v0.2.0-alpha,"""Asian ethnic origin""",ethnicity,No,"""successful VBAC""",vbac_success,"""Asian (odds ratio [OR] 1.59, 95% confidence interval [CI] 1.14–2.23)""",Yes,Subject→Object,Negative,"""compared with White European""",Population-specific,"""significantly""",Asserted,"""OR reported is for FAILED VBAC; valence here is for success → Negative.""","""OR 1.59 (1.14–2.23), p=0.007""",odds ratio for failure,1.59,95% CI,1.14-2.23,Original to this study,,"""Retrospective cohort with logistic regression""",Statistical modelling,Association,"""St George's Hospital, London, UK""",Country,"""1 January 2000 to 31 August 2013""",multi-year,"""1463 women with one previous low-transverse caesarean attempting VBAC with cephalic singleton at term""",Human
bhide2016,Results,v0.2.0-alpha,"""African ethnic origin""",ethnicity,No,"""successful VBAC""",vbac_success,"""African (OR 1.80, 95% CI 1.23–2.64) ethnic origin""",Yes,Subject→Object,Negative,"""compared with White European""",Population-specific,"""significantly""",Asserted,"""OR reported is for FAILED VBAC; valence here is for success → Negative.""","""OR 1.80 (1.23–2.64), p=0.003""",odds ratio for failure,1.80,95% CI,1.23-2.64,Original to this study,,"""Retrospective cohort with logistic regression""",Statistical modelling,Association,"""London, UK""",Country,"""2000–2013""",multi-year,"""1463 women attempting VBAC""",Human
bhide2016,Results,v0.2.0-alpha,"""previous cesarean for failure to progress""",prior_caesarean_indication_recurring,No,"""successful VBAC""",vbac_success,"""previous cesarean for failure to progress (OR 6.39, 95% CI 4.81–8.49)""",Yes,Subject→Object,Negative,"""compared with cesarean for other indications""",Unconditional,"""significantly""",Asserted,"""OR reported is for FAILED VBAC.""","""OR 6.39 (4.81–8.49), p<0.001""",odds ratio for failure,6.39,95% CI,4.81-8.49,Original to this study,,"""Retrospective cohort with logistic regression""",Statistical modelling,Association,"""London, UK""",Country,"""2000–2013""",multi-year,"""1463 women attempting VBAC""",Human
bhide2016,Results,v0.2.0-alpha,"""previous vaginal birth""",prior_vaginal_birth,No,"""successful VBAC""",vbac_success,"""Prior vaginal delivery did not affect the outcome of VBAC""",No,Subject→Object,Indeterminate,"""London UK cohort, 1463 women""",Population-specific,"""did not affect""",Asserted,"""[FLAG] In contrast to Knight 2013, Obeidat 2013, Gonen 2004, Olagbuji 2010 which found prior vaginal birth strongly positive. May reflect low base rate (14%) or confounding.""","""failed 14.5% vs successful 13.6%, p=0.65""",proportion,Not reported,Not reported,Not reported,Original to this study,,"""Univariate comparison""",Statistical modelling,Association,"""London, UK""",Country,"""2000–2013""",multi-year,"""1463 women attempting VBAC""",Human
bhide2016,Results,v0.2.0-alpha,"""maternal body mass index at booking""",maternal_bmi,No,"""successful VBAC""",vbac_success,"""body mass index at booking 26.8 ± 5.5 vs 26.0 ± 5.2 (P=0.021)""",Yes,Subject→Object,Negative,"""univariate; not significant in multivariate""",Unconditional,"""univariate p=0.021; not significant in multivariate""",Probable,,"""mean BMI 26.8 vs 26.0, univariate p=0.021; OR 1.01 (0.98–1.04), p=0.49 in multivariate""",odds ratio,1.01,95% CI,0.98-1.04,Original to this study,,"""Univariate t-test + logistic regression""",Statistical modelling,Association,"""London, UK""",Country,"""2000–2013""",multi-year,"""1463 women attempting VBAC""",Human
bhide2016,Results,v0.2.0-alpha,"""induction of labor""",induction_of_labour,No,"""successful VBAC""",vbac_success,"""Induction of labor [...] 84 (20.3%) failed vs 117 (11.1%) success, p<0.001""",Yes,Subject→Object,Negative,"""London UK cohort, univariate""",Unconditional,"""significantly""",Asserted,"""Excluded from multivariate because not known at first prenatal visit; valence captured from univariate.""","""20.3% vs 11.1%, p<0.001""",proportion,Not reported,Not reported,Not reported,Original to this study,,"""Univariate chi-square""",Statistical modelling,Association,"""London, UK""",Country,"""2000–2013""",multi-year,"""1463 women attempting VBAC""",Human
bhide2016,Results,v0.2.0-alpha,"""birth weight""",macrosomia,No,"""successful VBAC""",vbac_success,"""Birth weight was significantly higher for women with failed VBAC than for those who had a successful vaginal delivery (P<0.001) [mean 3486 g vs 3400 g]""",Yes,Subject→Object,Negative,"""London UK cohort""",Unconditional,"""significantly""",Asserted,,"""mean 3486 g vs 3400 g, p<0.001""",mean difference,86,Not reported,Not reported,Original to this study,,"""Univariate t-test""",Statistical modelling,Association,"""London, UK""",Country,"""2000–2013""",multi-year,"""1463 women attempting VBAC""",Human
bhide2016,Results,v0.2.0-alpha,"""male fetus""",fetal_sex_male [UNVERIFIED],No,"""successful VBAC""",vbac_success,"""A significantly higher proportion of women carrying a male fetus were unsuccessful in VBAC (P = 0.013)""",Yes,Subject→Object,Negative,"""univariate""",Unconditional,"""significantly""",Probable,"""[FLAG] novel subject code: fetal_sex_male.""","""234/179 vs 519/531, p=0.013""",proportion,Not reported,Not reported,Not reported,Original to this study,,"""Univariate chi-square""",Statistical modelling,Association,"""London, UK""",Country,"""2000–2013""",multi-year,"""1463 women attempting VBAC""",Human
bhide2016,Results,v0.2.0-alpha,"""pre-pregnancy diabetes""",gestational_diabetes,No,"""successful VBAC""",vbac_success,"""Pre-pregnancy diabetes [...] failed 16/35 (45.7%) vs successful 19/35 (54.3%), p=0.018""",Yes,Subject→Object,Negative,"""univariate""",Unconditional,"""significantly""",Probable,,"""failed 45.7% vs success 54.3%, p=0.018""",proportion,Not reported,Not reported,Not reported,Original to this study,,"""Univariate chi-square""",Statistical modelling,Association,"""London, UK""",Country,"""2000–2013""",multi-year,"""1463 women attempting VBAC""",Human
bhide2016,Results,v0.2.0-alpha,"""maternal smoking status""",maternal_smoking [UNVERIFIED],No,"""successful VBAC""",vbac_success,"""Smoker 10/71 (14.1%) failed vs 61/71 (85.9%) success, p=0.008""",Yes,Subject→Object,Positive,"""univariate; not significant in multivariate""",Unconditional,"""significantly in univariate, NS in multivariate""",Probable,"""[FLAG] novel subject code: maternal_smoking. Direction (smoker → more success) is counter-intuitive; likely confounded by ethnicity/BMI.""","""failed 14.1% vs success 85.9%, p=0.008; OR 0.45 (0.19–1.05) p=0.064 multivariate""",odds ratio for failure,0.45,95% CI,0.19-1.05,Original to this study,,"""Univariate + multivariate logistic regression""",Statistical modelling,Association,"""London, UK""",Country,"""2000–2013""",multi-year,"""1463 women attempting VBAC""",Human
bhide2016,Introduction,v0.2.0-alpha,"""factors at first prenatal visit""",mfmu_calculator_score,No,"""successful VBAC""",vbac_success,"""Grobman et al. [7] produced a model based on factors available at the first prenatal visit""",Yes,Subject→Object,Positive,"""prenatal counselling""",Unconditional,"""reasonably accurate""",Probable,"""Cited prediction model.""",Not reported,narrative only,Not reported,Not reported,Not reported,Cited from prior work,"""Grobman WA et al. Obstet Gynecol 2007;109:806–812""","""Cited prediction nomogram""",Statistical modelling,Association,"""United States""",Country,"""Not reported""",Not reported,"""Women with prior CS""",Human
bhide2016,Discussion,v0.2.0-alpha,"""failed attempt at VBAC""",tolac_failure,No,"""composite maternal morbidity""",maternal_morbidity,"""A failed attempt at VBAC after a long trial of labor [...] increases morbidity as compared with a planned repeat cesarean delivery""",Yes,Subject→Object,Positive,"""TOLAC""",Population-specific,"""increases""",Probable,,Not reported,narrative only,Not reported,Not reported,Not reported,Cited from prior work,"""Cahill AG et al. Am J Obstet Gynecol 2006;195:1143–1147""","""Cited cohort""",Statistical modelling,Controlled comparison,"""United States""",Country,"""Not reported""",Not reported,"""Women with prior CS and prior vaginal delivery""",Human
