paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
gonen2004,Results,v0.2.0-alpha,"""abnormal presentation as the indication for the primary CS""",prior_caesarean_indication_non_recurring,No,"""successful VBAC""",vbac_success,"""Abnormal presentation as the indication for the primary CS had the strongest association with successful VBAC (OR, 7.4; 95% CI, 2.8 to 19.2)""",Yes,Subject→Object,Positive,"""women with one previous low-transverse CS undergoing trial of VBAC""",Population-specific,"""significantly associated""",Asserted,,"""OR, 7.4; 95% CI 2.8 to 19.2""",odds ratio,7.4,95% CI,2.8-19.2,Original to this study,,"""Univariate and multiple stepwise logistic regression models""",Statistical modelling,Association,"""Bnai Zion Medical Center, a university hospital mainly serving the urban population of the city of Haifa, Israel""",Country,"""deliveries during the year 2000""",snapshot,"""339 parturients with a history of one previous low-transverse CS who underwent a trial of VBAC""",Human
gonen2004,Results,v0.2.0-alpha,"""a history of a VBAC""",prior_successful_vbac,No,"""successful VBAC""",vbac_success,"""followed by a history of a VBAC (OR, 7.2; 95% CI, 2.1 to 24.8)""",Yes,Subject→Object,Positive,"""women with one previous low-transverse CS undergoing trial of VBAC""",Population-specific,"""significantly associated""",Asserted,,"""OR, 7.2; 95% CI, 2.1 to 24.8""",odds ratio,7.2,95% CI,2.1-24.8,Original to this study,,"""Univariate and multiple stepwise logistic regression models""",Statistical modelling,Association,"""Bnai Zion Medical Center, Haifa, Israel""",Country,"""deliveries during the year 2000""",snapshot,"""339 parturients with one previous low-transverse CS""",Human
gonen2004,Results,v0.2.0-alpha,"""gestational age ≤ 41 weeks""",gestational_age,No,"""successful VBAC""",vbac_success,"""gestational age ≤ 41 weeks (OR, 2.8; 95% CI, 1.1 to 7.1)""",Yes,Subject→Object,Negative,"""compared with gestational age >41 weeks""",Temporal,"""significantly associated""",Asserted,"""[FLAG] valence: subject framed as ≤41 weeks predicting VBAC success, i.e. higher GA is associated with lower success — coded Negative for GA→success.""","""OR, 2.8; 95% CI, 1.1 to 7.1""",odds ratio,2.8,95% CI,1.1-7.1,Original to this study,,"""Univariate and multiple stepwise logistic regression models""",Statistical modelling,Association,"""Bnai Zion Medical Center, Haifa, Israel""",Country,"""deliveries during the year 2000""",snapshot,"""339 parturients with one previous low-transverse CS""",Human
gonen2004,Results,v0.2.0-alpha,"""cervical dilation""",cervical_dilation_at_admission,No,"""successful VBAC""",vbac_success,"""cervical dilation (OR, 2.5; 95% CI, 1.3 to 4.9)""",Yes,Subject→Object,Positive,"""at the onset of labor""",Temporal,"""significantly associated""",Asserted,,"""OR, 2.5; 95% CI, 1.3 to 4.9""",odds ratio,2.5,95% CI,1.3-4.9,Original to this study,,"""Univariate and multiple stepwise logistic regression models""",Statistical modelling,Association,"""Bnai Zion Medical Center, Haifa, Israel""",Country,"""deliveries during the year 2000""",snapshot,"""339 parturients with one previous low-transverse CS""",Human
gonen2004,Results,v0.2.0-alpha,"""lower gestational age at the primary CS""",gestational_age_at_prior_cs [UNVERIFIED],No,"""successful VBAC""",vbac_success,"""lower gestational age at the primary CS (OR, 1.2; 95% CI, 1.02 to 1.4)""",Yes,Subject→Object,Negative,"""women with one previous low-transverse CS""",Population-specific,"""significantly associated""",Asserted,"""[FLAG] novel subject code: gestational_age_at_prior_cs not in seed vocab; introduced in extraction.""","""OR, 1.2; 95% CI, 1.02 to 1.4""",odds ratio,1.2,95% CI,1.02-1.4,Original to this study,,"""Univariate and multiple stepwise logistic regression models""",Statistical modelling,Association,"""Bnai Zion Medical Center, Haifa, Israel""",Country,"""deliveries during the year 2000""",snapshot,"""339 parturients with one previous low-transverse CS""",Human
gonen2004,Results,v0.2.0-alpha,"""at least one vaginal birth before the primary CS""",prior_vaginal_birth,No,"""successful VBAC""",vbac_success,"""a history of at least one vaginal birth before the primary CS [...] OR 5.1 (1.8–14.7)""",Yes,Subject→Object,Positive,"""univariate analysis""",Unconditional,"""significantly associated""",Asserted,,"""OR 5.1 (1.8–14.7)""",odds ratio,5.1,95% CI,1.8-14.7,Original to this study,,"""Univariate logistic regression""",Statistical modelling,Association,"""Bnai Zion Medical Center, Haifa, Israel""",Country,"""deliveries during the year 2000""",snapshot,"""339 parturients with one previous low-transverse CS""",Human
gonen2004,Results,v0.2.0-alpha,"""nonreassuring fetal heart rate as the indication for the primary CS""",prior_caesarean_indication_non_recurring,No,"""successful VBAC""",vbac_success,"""Nonreassuring fetal heart rate [...] OR 2.5 (1.2–5.2)""",Yes,Subject→Object,Positive,"""compared with failure to progress as reference""",Unconditional,"""significantly associated""",Asserted,,"""OR 2.5 (1.2–5.2)""",odds ratio,2.5,95% CI,1.2-5.2,Original to this study,,"""Univariate logistic regression""",Statistical modelling,Association,"""Bnai Zion Medical Center, Haifa, Israel""",Country,"""deliveries during the year 2000""",snapshot,"""339 parturients with one previous low-transverse CS""",Human
gonen2004,Results,v0.2.0-alpha,"""birth weight at the primary CS""",birth_weight_at_prior_cs [UNVERIFIED],No,"""successful VBAC""",vbac_success,"""lower birth weight at the primary CS [...] p<0.001""",Yes,Subject→Object,Negative,"""univariate analysis; variable rejected in multivariate model""",Unconditional,"""significantly associated""",Asserted,"""[FLAG] novel subject code: birth_weight_at_prior_cs.""","""mean 2925 g (793) vs 3312 g (486), p<0.001""",mean difference,Not reported,Not reported,Not reported,Original to this study,,"""Univariate comparison with t-test""",Statistical modelling,Association,"""Bnai Zion Medical Center, Haifa, Israel""",Country,"""deliveries during the year 2000""",snapshot,"""339 parturients with one previous low-transverse CS""",Human
gonen2004,Results,v0.2.0-alpha,"""clinical estimation of fetal weight""",estimated_fetal_weight [UNVERIFIED],No,"""successful VBAC""",vbac_success,"""Mean (SD) clinical estimation of fetal weight 3360 (395) vs 3570 (319) [...] 0.9 (0.8–0.9)""",Yes,Subject→Object,Negative,"""at the onset of labor""",Temporal,"""significantly associated""",Asserted,"""[FLAG] novel subject code: estimated_fetal_weight overlaps with macrosomia in seed vocab.""","""OR 0.9 (0.8–0.9), p<0.001""",odds ratio per unit,0.9,95% CI,0.8-0.9,Original to this study,,"""Univariate logistic regression""",Statistical modelling,Association,"""Bnai Zion Medical Center, Haifa, Israel""",Country,"""deliveries during the year 2000""",snapshot,"""339 parturients with one previous low-transverse CS""",Human
gonen2004,Results,v0.2.0-alpha,"""cervical effacement ≥80%""",cervical_effacement [UNVERIFIED],No,"""successful VBAC""",vbac_success,"""≥80% [effacement vs <80%] 1.9 (1.1–3.5), p=0.03""",Yes,Subject→Object,Positive,"""at the onset of labor""",Temporal,"""significantly associated""",Asserted,"""[FLAG] novel subject code: cervical_effacement.""","""OR 1.9 (1.1–3.5), p=0.03""",odds ratio,1.9,95% CI,1.1-3.5,Original to this study,,"""Univariate logistic regression""",Statistical modelling,Association,"""Bnai Zion Medical Center, Haifa, Israel""",Country,"""deliveries during the year 2000""",snapshot,"""339 parturients with one previous low-transverse CS""",Human
