paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
schwartzmann2005,Abstract,v0.2.0-alpha,"indigenous land rights",indigenous_land_rights,No,"asgm influx",miner_influx,"Like many Amazonian indigenous peoples, the Kayapo have halted the expansion of the agricultural frontier on their lands but allow selective logging and gold mining.",Yes,Subject→Object,Negative,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Review of indigenous-land conservation outcomes in Amazonia",Review,Association,"Brazil, Kayapó lands",Country,"1980-2005 review window",multi-year,"Brazil, Kayapó lands ; Informal / ASGM",Human
schwartzmann2005,Introduction,v0.2.0-alpha,"road construction",road_creation,No,"asgm influx",miner_influx,"Ranchers, colonists, loggers, gold miners, and illegal land speculators, supported by road construction that promotes frontier expansion, began to flagrantly violate the integrity of Amerindian lands in southern Pará and Mato Grosso states.",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Review of indigenous-land conservation outcomes in Amazonia",Review,Association,"Brazil, Kayapó lands",Country,"1980-2005 review window",multi-year,"Brazil, Kayapó lands ; Informal / ASGM",Human
schwartzmann2005,Introduction,v0.2.0-alpha,"asgm influx",miner_influx,No,"indigenous land rights",indigenous_land_rights,"Ranchers, colonists, loggers, gold miners, and illegal land speculators, supported by road construction that promotes frontier expansion, began to flagrantly violate the integrity of Amerindian lands in southern Pará and Mato Grosso states.",Yes,Subject→Object,Negative,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Review of indigenous-land conservation outcomes in Amazonia",Review,Association,"Brazil, Kayapó lands",Country,"1980-2005 review window",multi-year,"Brazil, Kayapó lands ; Informal / ASGM",Human
schwartzmann2005,Introduction,v0.2.0-alpha,"indigenous land rights",indigenous_land_rights,No,"asgm influx",miner_influx,"In dramatic confrontations in the 1980s, the Kayapó reinvaded ranches, took hostages, seized river crossings, and expelled thousands of gold miners from their territory. These actions reinvented their warrior tradition as part of a political and public relations campaign that proved effective in winning land struggles",Yes,Subject→Object,Negative,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Review of indigenous-land conservation outcomes in Amazonia",Review,Association,"Brazil, Kayapó lands",Country,"1980-2005 review window",multi-year,"Brazil, Kayapó lands ; Informal / ASGM",Human
schwartzmann2005,Introduction,v0.2.0-alpha,"road construction",road_construction,No,"illegal logging",deforestation_and_forest_degradation,"During the late 1980s and 1990s, Kayapó chiefs began to selectively allow mahogany logging or gold-mining concessions in exchange for cash, but they were largely able to prevent outsiders from occupying their lands. Ironically, the illegal logging of mahogany contributed to the persistence of forest in the southeastern Amazon—the Kayapó invested part of the returns in protecting their lands.",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Review of indigenous-land conservation outcomes in Amazonia",Review,Association,"Brazil, Kayapó lands",Country,"1980-2005 review window",multi-year,"Brazil, Kayapó lands ; Informal / ASGM",Human
schwartzmann2005,Introduction,v0.2.0-alpha,"illegal logging",indigenous_land_rights,No,"enforcement ",deforestation_and_forest_degradation,"During the late 1980s and 1990s, Kayapó chiefs began to selectively allow mahogany logging or gold-mining concessions in exchange for cash, but they were largely able to prevent outsiders from occupying their lands. Ironically, the illegal logging of mahogany contributed to the persistence of forest in the southeastern Amazon—the Kayapó invested part of the returns in protecting their lands.",Yes,Subject→Object,Negative,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Review of indigenous-land conservation outcomes in Amazonia",Review,Association,"Brazil, Kayapó lands",Country,"1980-2005 review window",multi-year,"Brazil, Kayapó lands ; Informal / ASGM",Human
schwartzmann2005,Introduction,v0.2.0-alpha,"gold prices",gold_prices,No,"gold mining",gold_mining,"Unlike agriculture, logging and gold mining pose a more insidious threat to Amerindian lands and cultures because these activities do not necessarily result in loss of territory. As a result, Amerindian groups may view these activities as economic opportunity rather than invasion. Although gold-mining activity on Kayapó lands tapered off in the 1990s with declining gold prices, mahogany logging continued until international pressure led to government action in 2002. Kayapó lands were once rich in mahogany (Swietenia macrophylla King), the most valuable timber species on Earth, but after more than a decade of uncontrolled logging, mahogany is scarce.",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Review of indigenous-land conservation outcomes in Amazonia",Review,Association,"Brazil, Kayapó lands",Country,"1980-2005 review window",multi-year,"Brazil, Kayapó lands ; Informal / ASGM",Human
schwartzmann2005,Discussion,v0.2.0-alpha,"leadership change within indigenous communities",indigenous_land_rights,No,"gold mining",gold_mining," In several villages that had allowed extraction of mahogany and gold, communal control was eventually asserted over the younger leaders who had parlayed their skills as intercultural mediators into political and economic dominance in the community. This control meant either that communities stopped extraction activities altogether on their land or made their leaders share the profits.",Yes,Subject→Object,Negative,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Review of indigenous-land conservation outcomes in Amazonia",Review,Association,"Brazil, Kayapó lands",Country,"1980-2005 review window",multi-year,"Brazil, Kayapó lands ; Informal / ASGM",Human
schwartzmann2005,Discussion,v0.2.0-alpha,"gold mining",gold_mining,No,"need for economic alternatives",need_for_economic_alternatives,"Once gold mining and mahogany logging on Kayapó lands was interrupted, the Kayapó began organizing associations to access support for community needs. Conservation International do Brasil provides substantial technical, administrative, and financial support and related project implementation needs for the two main Kayapó NGOs: Associação Floresta Protegida (AFP) in Pará state and Instituto Raoní (IR) of Mato Grosso state. Both organizations are implementing territorial surveillance and conservation and development projects (research station, Brazil-nut extraction, and piqui fruit harvest, among others) with funding obtained principally by CI–Brasil and in partnership with FUNAI. The FUNAI does not have nearly enough resources to uphold its constitutional obligation of protecting indigenous peoples and their lands. The NGOs can help fill this gap under the partnership model used by the AFP and by the IR. The role of the AFP, IR, and FUNAI is to support Kayapó surveillance and development initiatives as long as they act to preserve social and environmental integrity. The AFP, IR, Kayapó leaders, and FUNAI design and help coordinate surveillance strategy among guard posts and communities; the AFP and IR support administration, infrastructure, and training for implementing the strategy; the Kayapó perform the ground surveillance and occupation of their territory; and FUNAI provides legal authority, coordination, and administration of field activities and involvement of other federal authorities.",Yes,Subject→Object,Negative,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Review of indigenous-land conservation outcomes in Amazonia",Review,Association,"Brazil, Kayapó lands",Country,"1980-2005 review window",multi-year,"Brazil, Kayapó lands ; Informal / ASGM",Human
schwartzmann2005,Discussion,v0.2.0-alpha,"indigenous land rights",indigenous_land_rights,No,"asgm influx",miner_influx,"Unlike the Kayapó, the various societies in the Xingu Indigenous Park have not permitted logging or gold mining on their territory. The Xingu Park, about 2.6 million ha in northern Mato Grosso, was created in 1961, largely through the efforts of the renowned indigenists, the Villas Boas brothers. This area is now inhabited by some 3700 people of 16 distinct ethnicities and has been continuously inhabited for at least 800 years (Heckenberger et al. 2003). The Xingu tribes (Xinguanos) have repeatedly turned back illegal loggers, held and seized the equipment of intruders hunting and fishing in the park, and defended the boundaries of the area from surrounding ranchers throughout the 1980s and 1990s, despite expansion of the agricultural frontier around the park. A paternalistic regime of “presents” was instituted by the Villas Boas and continued by FUNAI, whereby chiefs' allegiance to park authorities was ensured by “gifts” of trade goods. As the Indians' need for outside goods grew, this system of presents collapsed and opportunities to generate income, outside of a handful of FUNAI jobs and the sale of handicrafts and artwork, were extremely limited.",Yes,Subject→Object,Negative,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,,"Review of indigenous-land conservation outcomes in Amazonia",Review,Association,"Brazil, Xingu Indigenous Park",Country,"1980-2005 review window",multi-year,"Brazil, Xingu Indigenous Park; Informal / ASGM",Human
