paper_id,paper_section,v1_raw,v1_code,v1_entity_type,v1_domain,v2_raw,v2_code,v2_entity_type,v2_domain,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,population_raw,population_code
10.1088/1748-9326/aa7dab,Abstract,"""Gold mining in Amazonia""","Artisanal and small-scale gold mining",Intervention,Economic,"""biodiversity""","Biodiversity",Outcome,Environmental,"""together pose a major threat to biodiversity, water quality, forest carbon stocks, and human health""",Yes,V1→V2,Negative,"""involves forest removal, soil excavation, and the use of liquid mercury""",Technology-specific,"""pose a major threat to""",Asserted,"""Not reported""","""Not reported""",narrative only,not reported,Not reported,not reported,Synthesised from multiple sources,"""(Ashe 2012, Asner et al 2010, Hammond et al 2007)""","""Not reported""",Review,Association,"""Amazonia""",Region,"""Not reported""","""Amazonian forests""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Abstract,"""Gold mining in Amazonia""","Artisanal and small-scale gold mining",Intervention,Economic,"""water quality""","Water quality",Outcome,Environmental,"""together pose a major threat to biodiversity, water quality, forest carbon stocks, and human health""",Yes,V1→V2,Negative,"""involves forest removal, soil excavation, and the use of liquid mercury""",Technology-specific,"""pose a major threat to""",Asserted,"""Not reported""","""Not reported""",narrative only,not reported,Not reported,not reported,Synthesised from multiple sources,"""(Ashe 2012, Asner et al 2010, Hammond et al 2007)""","""Not reported""",Review,Association,"""Amazonia""",Region,"""Not reported""","""Amazonian rivers and watersheds""",Freshwater ecosystem
10.1088/1748-9326/aa7dab,Abstract,"""Gold mining in Amazonia""","Artisanal and small-scale gold mining",Intervention,Economic,"""forest carbon stocks""","Forest carbon stocks",Outcome,Environmental,"""together pose a major threat to biodiversity, water quality, forest carbon stocks, and human health""",Yes,V1→V2,Negative,"""involves forest removal, soil excavation, and the use of liquid mercury""",Technology-specific,"""pose a major threat to""",Asserted,"""Not reported""","""Not reported""",narrative only,not reported,Not reported,not reported,Synthesised from multiple sources,"""(Ashe 2012, Asner et al 2010, Hammond et al 2007)""","""Not reported""",Review,Association,"""Amazonia""",Region,"""Not reported""","""Amazonian forests""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Abstract,"""Gold mining in Amazonia""","Artisanal and small-scale gold mining",Intervention,Economic,"""human health""","Human health",Outcome,Social,"""together pose a major threat to biodiversity, water quality, forest carbon stocks, and human health""",Yes,V1→V2,Negative,"""involves forest removal, soil excavation, and the use of liquid mercury""",Technology-specific,"""pose a major threat to""",Asserted,"""Not reported""","""Not reported""",narrative only,not reported,Not reported,not reported,Synthesised from multiple sources,"""(Ashe 2012, Asner et al 2010, Hammond et al 2007)""","""Not reported""",Review,Association,"""Amazonia""",Region,"""Not reported""","""Amazonian human populations""",Human
10.1088/1748-9326/aa7dab,Abstract,"""2012 government decrees and enforcement actions""","Anti-mining legal decrees and enforcement",Intervention,Governance,"""gold mining""","Artisanal and small-scale gold mining",Outcome,Economic,"""gold mining has continued despite numerous 2012 government decrees and enforcement actions against it""",No,V1→V2,Indeterminate,"""within the global biodiversity hotspot of Madre de Dios, Peru""",Spatial,"""has continued despite""",Asserted,"""Paper claims intervention failed to suppress mining""","""Not reported""",narrative only,not reported,Not reported,not reported,Original to this study,"""Not reported""","""high-resolution remote sensing to assess annual changes in gold mining extent""",Observation,Association,"""Madre de Dios, Peru""",Region,"""1999 to 2016""","""Madre de Dios region""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Abstract,"""2012 government action""","Anti-mining legal decrees and enforcement",Intervention,Governance,"""annual growth rate of mining-related forest loss""","Forest loss rate from gold mining",Outcome,Environmental,"""A temporary downward inflection in the annual growth rate of mining-related forest loss following 2012 government action was followed by a near doubling of the deforestation rate from mining in 2013–2014""",Yes,V1→V2,Non-linear,"""following 2012 government action""",Temporal,"""Not reported""",Asserted,"""Effect was temporary""","""near doubling of the deforestation rate from mining in 2013–2014""",% change,"""near doubling""",not reported,not reported,Original to this study,"""Not reported""","""high-resolution remote sensing to assess annual changes in gold mining extent""",Observation,Association,"""Madre de Dios region""",Region,"""2012–2014""","""Madre de Dios region""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Introduction,"""2008 global recession""","Global economic recession",Context,Economic,"""gold prices""","Gold market price",Context,Economic,"""the 2008 global recession bolstered gold prices""",Yes,V1→V2,Positive,"""Not reported""",Temporal,"""Not reported""",Asserted,"""Not reported""","""Not reported""",narrative only,not reported,Not reported,not reported,Cited from prior work,"""(Swenson et al 2011)""","""Not reported""",Review,Association,"""Global""",Global,"""2008""","""Global gold market""",Mixed
10.1088/1748-9326/aa7dab,Introduction,"""gold prices""","Gold market price",Context,Economic,"""informal (sometimes called artisanal), and mostly illegal, gold mining""","Artisanal and small-scale gold mining",Outcome,Economic,"""multiple factors have propelled increasing levels of informal (sometimes called artisanal), and mostly illegal, gold mining. First, the 2008 global recession bolstered gold prices""",Yes,V1→V2,Positive,"""Not reported""",Temporal,"""Not reported""",Probable,"""Bolstered prices listed as one of multiple causal factors""","""Not reported""",narrative only,not reported,Not reported,not reported,Cited from prior work,"""(Swenson et al 2011)""","""Not reported""",Review,Association,"""Madre de Dios, Peru""",Region,"""post-2008""","""Madre de Dios mining sector""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Introduction,"""paving of the Interoceanic Highway through Madre de Dios""","Road infrastructure development",Intervention,Economic,"""roadway access to forests and prime gold mining sites""","Access to mining sites",Outcome,Economic,"""paving of the Interoceanic Highway through Madre de Dios greatly increased roadway access to forests and prime gold mining sites""",Yes,V1→V2,Positive,"""through Madre de Dios""",Spatial,"""greatly increased""",Asserted,"""Not reported""","""Not reported""",narrative only,not reported,Not reported,not reported,Cited from prior work,"""(Asner et al 2010)""","""Not reported""",Observation,Association,"""Madre de Dios""",Region,"""Not reported""","""Madre de Dios region""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Introduction,"""out-migration of people from Andean regions, such as Arequipa, Cuzco and Puno""","Out-migration from Andean regions",Exposure,Social,"""informal (sometimes called artisanal), and mostly illegal, gold mining""","Artisanal and small-scale gold mining",Outcome,Economic,"""there continues to be out-migration of people from Andean regions, such as Arequipa, Cuzco and Puno, to the lowland Peruvian Amazon""",Yes,V1→V2,Positive,"""Not reported""",Spatial,"""Not reported""",Probable,"""Listed as one of multiple causal factors propelling increased mining""","""Not reported""",narrative only,not reported,Not reported,not reported,Synthesised from multiple sources,"""Not reported""","""Not reported""",Review,Association,"""lowland Peruvian Amazon, Madre de Dios""",Region,"""Not reported""","""Andean migrant population""",Human
