paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
hollard2006,Results,v0.2.0-alpha,"""African American"" ethnicity",ethnicity,No,"""successful VBAC""",vbac_success,"""adjusted OR for VBAC success was 0.37 (95% CI 0.27–0.50) for African American women""",Yes,Subject→Object,Negative,"""compared with Caucasian women; adjusted for age>35, induction, oxytocin, epidural, birth weight>4000g, clinic service, no prior vaginal delivery""",Population-specific,"""significantly less likely""",Asserted,"""African American coded as ethnicity; Caucasian is reference.""","""adjusted OR 0.37 (95% CI 0.27–0.50), p<0.0001""",odds ratio,0.37,95% CI,0.27-0.50,Original to this study,,"""Retrospective cohort with multivariable logistic regression""",Statistical modelling,Association,"""Memorial Care System, Southern California, USA""",Country,"""January 1, 1997 to July 30, 2002""",multi-year,"""2575 women with prior cesarean undergoing a trial of labor""",Human
hollard2006,Results,v0.2.0-alpha,"""Hispanic"" ethnicity",ethnicity,No,"""successful VBAC""",vbac_success,"""adjusted OR for VBAC success was [...] 0.63 (95% CI 0.51–0.79) for Hispanic women""",Yes,Subject→Object,Negative,"""compared with Caucasian women; fully adjusted model""",Population-specific,"""significantly less likely""",Asserted,,"""adjusted OR 0.63 (95% CI 0.51–0.79), p<0.0001""",odds ratio,0.63,95% CI,0.51-0.79,Original to this study,,"""Retrospective cohort with multivariable logistic regression""",Statistical modelling,Association,"""Memorial Care System, Southern California, USA""",Country,"""1997–2002""",multi-year,"""2575 women with prior cesarean undergoing a trial of labor""",Human
hollard2006,Results,v0.2.0-alpha,"""parity = 1""",parity,No,"""successful VBAC""",vbac_success,"""Parity = 1 [...] OR 0.35 (0.29–0.43) p<0.0001""",Yes,Subject→Object,Negative,"""univariate composite analysis""",Population-specific,"""strongest predictor of failure""",Asserted,"""Lower parity (=1, i.e. nulliparous-after-CS) negatively associated with VBAC success.""","""OR 0.35 (0.29–0.43), p<0.0001""",odds ratio,0.35,95% CI,0.29-0.43,Original to this study,,"""Univariate logistic regression""",Statistical modelling,Association,"""Memorial Care System, Southern California, USA""",Country,"""1997–2002""",multi-year,"""2575 women with prior cesarean undergoing a trial of labor""",Human
hollard2006,Results,v0.2.0-alpha,"""labor induction""",induction_of_labour,No,"""successful VBAC""",vbac_success,"""Labor induction [...] 0.70 (0.56–0.88) p=0.002""",Yes,Subject→Object,Negative,"""univariate composite""",Unconditional,"""significantly""",Asserted,,"""OR 0.70 (0.56–0.88), p=0.002""",odds ratio,0.70,95% CI,0.56-0.88,Original to this study,,"""Univariate logistic regression""",Statistical modelling,Association,"""Memorial Care System, Southern California, USA""",Country,"""1997–2002""",multi-year,"""2575 women with prior cesarean undergoing a trial of labor""",Human
hollard2006,Results,v0.2.0-alpha,"""epidural analgesia""",epidural_analgesia,No,"""successful VBAC""",vbac_success,"""Epidural analgesia [...] 0.71 (0.60–0.85) p=0.0002""",Yes,Subject→Object,Negative,"""univariate composite""",Unconditional,"""significantly""",Asserted,,"""OR 0.71 (0.60–0.85), p=0.0002""",odds ratio,0.71,95% CI,0.60-0.85,Original to this study,,"""Univariate logistic regression""",Statistical modelling,Association,"""Memorial Care System, Southern California, USA""",Country,"""1997–2002""",multi-year,"""2575 women with prior cesarean undergoing a trial of labor""",Human
hollard2006,Results,v0.2.0-alpha,"""birth weight > 4000 g""",macrosomia,No,"""successful VBAC""",vbac_success,"""Birth weight >4000 g [...] 0.64 (0.50–0.82) p=0.0003""",Yes,Subject→Object,Negative,"""univariate composite""",Unconditional,"""significantly""",Asserted,,"""OR 0.64 (0.50–0.82), p=0.0003""",odds ratio,0.64,95% CI,0.50-0.82,Original to this study,,"""Univariate logistic regression""",Statistical modelling,Association,"""Memorial Care System, Southern California, USA""",Country,"""1997–2002""",multi-year,"""2575 women with prior cesarean undergoing a trial of labor""",Human
hollard2006,Results,v0.2.0-alpha,"""resident clinic service""",socioeconomic_status,No,"""successful VBAC""",vbac_success,"""Clinic service [...] 1.50 (1.02–2.00) p=0.04""",Yes,Subject→Object,Positive,"""univariate composite""",Unconditional,"""significantly""",Probable,"""Clinic service used as a proxy for low/public insurance status.""","""OR 1.50 (1.02–2.00), p=0.04""",odds ratio,1.50,95% CI,1.02-2.00,Original to this study,,"""Univariate logistic regression""",Statistical modelling,Association,"""Memorial Care System, Southern California, USA""",Country,"""1997–2002""",multi-year,"""2575 women with prior cesarean undergoing a trial of labor""",Human
hollard2006,Results,v0.2.0-alpha,"""maternal age > 35 years""",maternal_age,No,"""successful VBAC""",vbac_success,"""Age >35 years 0.86 (0.68–1.09) 0.088""",No,Subject→Object,Indeterminate,"""univariate composite""",Unconditional,"""not significant""",Possible,,"""OR 0.86 (0.68–1.09), p=0.088""",odds ratio,0.86,95% CI,0.68-1.09,Original to this study,,"""Univariate logistic regression""",Statistical modelling,Association,"""Memorial Care System, Southern California, USA""",Country,"""1997–2002""",multi-year,"""2575 women with prior cesarean undergoing a trial of labor""",Human
hollard2006,Results,v0.2.0-alpha,"""diabetes mellitus""",gestational_diabetes,No,"""successful VBAC""",vbac_success,"""Diabetes mellitus 0.71 (0.36–1.39) 0.315""",No,Subject→Object,Indeterminate,"""univariate composite; combined gestational and pre-gestational diabetes""",Unconditional,"""not significant""",Possible,,"""OR 0.71 (0.36–1.39), NS""",odds ratio,0.71,95% CI,0.36-1.39,Original to this study,,"""Univariate logistic regression""",Statistical modelling,Association,"""Memorial Care System, Southern California, USA""",Country,"""1997–2002""",multi-year,"""2575 women with prior cesarean undergoing a trial of labor""",Human
hollard2006,Results,v0.2.0-alpha,"""preeclampsia""",preeclampsia,No,"""successful VBAC""",vbac_success,"""Preeclampsia 0.79 (0.47–1.49) 0.244""",No,Subject→Object,Indeterminate,"""univariate composite""",Unconditional,"""not significant""",Possible,,"""OR 0.79 (0.47–1.49), NS""",odds ratio,0.79,95% CI,0.47-1.49,Original to this study,,"""Univariate logistic regression""",Statistical modelling,Association,"""Memorial Care System, Southern California, USA""",Country,"""1997–2002""",multi-year,"""2575 women with prior cesarean undergoing a trial of labor""",Human
hollard2006,Results,v0.2.0-alpha,"""trial of labor""",tolac_failure,Yes,,,"""There were 10 uterine ruptures in 2830 patients undergoing a TOL for a rate of 3.5 per 1000""",Yes,Indeterminate,Indeterminate,"""TOL in mixed ethnic cohort""",Population-specific,"""3.5 per 1000""",Asserted,"""Recorded as subject_trend_only: rupture incidence reported without a paired predictor.""","""3.5 per 1000""",rate,3.5,Not reported,Not reported,Original to this study,,"""Retrospective cohort""",Observation,Association,"""Memorial Care System, Southern California, USA""",Country,"""1997–2002""",multi-year,"""2830 patients undergoing TOL""",Human
hollard2006,Results,v0.2.0-alpha,"""African American ethnicity""",ethnicity,No,"""non-reassuring fetal heart rate as VBAC-failure indication""",vbac_failure_indication_fhr [UNVERIFIED],"""African American women were nearly three times more likely to fail secondary to non-reassuring fetal heart rate patterns""",Yes,Subject→Object,Positive,"""compared with Caucasian and Hispanic groups""",Population-specific,"""nearly three times more likely""",Probable,"""[FLAG] novel object code: vbac_failure_indication_fhr.""","""Caucasian 18.5%, Hispanic 15.1%, AA 37.5%, p=0.0004""",proportion,37.5%,Not reported,Not reported,Original to this study,,"""Retrospective cohort, chi-square""",Statistical modelling,Association,"""Memorial Care System, Southern California, USA""",Country,"""1997–2002""",multi-year,"""2575 TOL women""",Human
