paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
lazarou2021,Results,v0.2.0-alpha,"""maternal age""",maternal_age,No,"""successful VBAC""",vbac_success,"""Women who were younger and those who had had any vaginal birth prior to CD or any prior VBAC were more likely to have a successful TOLAC [...] Maternal age OR 0.925 (0.879, 0.974) p=0.003""",Yes,Subject→Object,Negative,"""German tertiary hospital cohort""",Population-specific,"""statistically significant""",Asserted,,"""OR 0.925 (0.879, 0.974), p=0.003 per year""",odds ratio per year,0.925,95% CI,0.879-0.974,Original to this study,,"""Binary logistic regression on Grobman-style model""",Statistical modelling,Association,"""Charité-Universitätsmedizin Berlin, Campus Virchow Clinic, Germany""",Country,"""January 2014 to October 2017""",multi-year,"""348 women with one prior CS undergoing TOLAC""",Human
lazarou2021,Results,v0.2.0-alpha,"""any vaginal birth prior to CD""",prior_vaginal_birth,No,"""successful VBAC""",vbac_success,"""Any prior VB [...] OR 4.944 (1.798, 8.654), p=0.001""",Yes,Subject→Object,Positive,"""German cohort""",Population-specific,"""statistically significant""",Asserted,,"""OR 4.944 (1.798, 8.654), p=0.001""",odds ratio,4.944,95% CI,1.798-8.654,Original to this study,,"""Binary logistic regression""",Statistical modelling,Association,"""Germany""",Country,"""2014–2017""",multi-year,"""348 women""",Human
lazarou2021,Results,v0.2.0-alpha,"""any prior VBAC""",prior_successful_vbac,No,"""successful VBAC""",vbac_success,"""Any VBAC [...] OR 4.934 (2.417, 10.074), p<0.001""",Yes,Subject→Object,Positive,"""German cohort""",Population-specific,"""statistically significant""",Asserted,,"""OR 4.934 (2.417, 10.074), p<0.001""",odds ratio,4.934,95% CI,2.417-10.074,Original to this study,,"""Binary logistic regression""",Statistical modelling,Association,"""Germany""",Country,"""2014–2017""",multi-year,"""348 women""",Human
lazarou2021,Results,v0.2.0-alpha,"""BMI""",maternal_bmi,No,"""successful VBAC""",vbac_success,"""A lower BMI correlates statistically significant (p=0.042, ANOVA test) with a successful TOLAC""",Yes,Subject→Object,Negative,"""German cohort, univariate""",Unconditional,"""statistically significant""",Asserted,"""Univariate p=0.042; not significant in multivariate (OR 0.986 (0.937,1.038), p=0.602).""","""univariate mean 24.7 vs 23.4 vs 25.4 kg/m², p=0.042; multivariate OR 0.986 (0.937,1.038)""",odds ratio per unit,0.986,95% CI,0.937-1.038,Original to this study,,"""ANOVA + binary logistic regression""",Statistical modelling,Association,"""Germany""",Country,"""2014–2017""",multi-year,"""348 women""",Human
lazarou2021,Results,v0.2.0-alpha,"""fetal distress as indication of previous CS""",prior_caesarean_indication_recurring,No,"""successful VBAC""",vbac_success,"""Fetal distress as indication of the previous CD was associated with a higher rate of unsuccessful TOLAC (p=0.012, chi-squared test)""",Yes,Subject→Object,Negative,"""compared to breech reference""",Population-specific,"""associated""",Asserted,"""Coded as prior_caesarean_indication_recurring; fetal distress is debatable as recurring vs non-recurring, this paper treats it as recurring-like.""","""18/48 (37.5%) VBAC for fetal-distress indication vs 51.6% overall, p=0.012""",proportion,37.5%,Not reported,Not reported,Original to this study,,"""Chi-square comparison""",Statistical modelling,Association,"""Germany""",Country,"""2014–2017""",multi-year,"""348 women""",Human
lazarou2021,Results,v0.2.0-alpha,"""breech or other malpresentation as indication of previous CS""",prior_caesarean_indication_non_recurring,No,"""successful VBAC""",vbac_success,"""Women with previous CD because of breech or other malpresentation had statistically significant more often a VBAC than the average of this cohort (p=0.016, chi-squared test)""",Yes,Subject→Object,Positive,"""German cohort""",Population-specific,"""statistically significant""",Asserted,,"""43/64 (67.2%) VBAC for breech indication vs 51.6% overall, p=0.016""",proportion,67.2%,Not reported,Not reported,Original to this study,,"""Chi-square comparison""",Statistical modelling,Association,"""Germany""",Country,"""2014–2017""",multi-year,"""348 women""",Human
lazarou2021,Results,v0.2.0-alpha,"""birth weight at previous CD""",birth_weight_at_prior_cs [UNVERIFIED],No,"""successful VBAC""",vbac_success,"""A higher birth weight at the previous CD correlates negatively with a successful TOLAC""",Yes,Subject→Object,Negative,"""German cohort""",Unconditional,"""statistically significant""",Asserted,"""[FLAG] novel subject code: birth_weight_at_prior_cs (also seen in gonen2004).""","""mean 3046 g (VBAC) vs 3378 g (UICD), p=0.006""",mean difference,332,Not reported,Not reported,Original to this study,,"""ANOVA""",Statistical modelling,Association,"""Germany""",Country,"""2014–2017""",multi-year,"""348 women""",Human
lazarou2021,Results,v0.2.0-alpha,"""time between CD and beginning of current pregnancy""",inter_delivery_interval,No,"""successful VBAC""",vbac_success,"""Considering the time between CD and beginning of current pregnancy [...] differences are not statistically significant""",No,Subject→Object,Indeterminate,"""German cohort""",Unconditional,"""not statistically significant""",Possible,,"""mean 3.0 vs 2.2 vs 2.7 years, NS""",mean years,3.0,Not reported,Not reported,Original to this study,,"""Univariate""",Statistical modelling,Association,"""Germany""",Country,"""2014–2017""",multi-year,"""348 women""",Human
lazarou2021,Results,v0.2.0-alpha,"""trial of labor after caesarean""",uterine_rupture,Yes,,,"""There were 6 uterine ruptures in our cohort of 408 women with TOLAC, resulting in a uterine rupture rate of 1.47%""",Yes,Indeterminate,Indeterminate,"""TOLAC""",Population-specific,"""1.47%""",Asserted,"""subject_trend_only=Yes: rupture incidence reported.""","""6/408 = 1.47%""",rate,1.47%,Not reported,Not reported,Original to this study,,"""Retrospective cohort""",Observation,Association,"""Germany""",Country,"""2014–2017""",multi-year,"""408 women attempting TOLAC""",Human
lazarou2021,Discussion,v0.2.0-alpha,"""inter-delivery interval ≤ 24 months""",inter_delivery_interval,No,"""uterine rupture""",uterine_rupture,"""there is a two- to three-fold increase in the risk of uterine rupture at an interdelivery interval of ≤24 months, compared with an interval of >24 months""",Yes,Subject→Object,Negative,"""TOLAC""",Temporal,"""two- to three-fold increase""",Probable,"""Coded subject=inter_delivery_interval, valence=Negative (shorter interval → more rupture).""","""2-3x increase""",risk ratio,2-3,Not reported,Not reported,Cited from prior work,"""Bujold E, Mehta SH, Bujold C, Gauthier RJ. Am J Obstet Gynecol 2002;187:1199–1202""","""Cited cohort study""",Statistical modelling,Association,"""Canada""",Country,"""Not reported""",Not reported,"""Women attempting TOLAC""",Human
