paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
ashwal2015,Results,v0.2.0-alpha,"""previous VBAC""",prior_successful_vbac,No,"""successful VBAC""",vbac_success,"""previous VBAC (2.77, 1.60-4.78, P<0.001)""",Yes,Subject→Object,Positive,"""Israeli tertiary hospital cohort with single low-transverse CS""",Population-specific,"""significantly""",Asserted,,"""OR 2.77 (1.60-4.78), p<0.001""",odds ratio,2.77,95% CI,1.60-4.78,Original to this study,,"""Multivariable logistic regression""",Statistical modelling,Association,"""Helen Schneider Hospital for Women, Rabin Medical Center, Petach Tikva, Israel""",Country,"""January 2010 to December 2014""",multi-year,"""1,767 women with prior single low-transverse CS attempting vaginal delivery; estimated fetal weight <4000g excluded""",Human
ashwal2015,Results,v0.2.0-alpha,"""prior vaginal delivery prior to the CS""",prior_vaginal_birth,No,"""successful VBAC""",vbac_success,"""prior vaginal delivery prior to the CS (3.05, 1.73-5.39, P<0.001)""",Yes,Subject→Object,Positive,"""Israeli tertiary hospital""",Population-specific,"""significantly""",Asserted,,"""OR 3.05 (1.73-5.39), p<0.001""",odds ratio,3.05,95% CI,1.73-5.39,Original to this study,,"""Multivariable logistic regression""",Statistical modelling,Association,"""Israel""",Country,"""2010–2014""",multi-year,"""1,767 women attempting TOLAC""",Human
ashwal2015,Results,v0.2.0-alpha,"""induction of labor""",induction_of_labour,No,"""successful VBAC""",vbac_success,"""induction of labor (0.62, 0.40-0.97, P=0.03)""",Yes,Subject→Object,Negative,"""Israeli tertiary hospital, single TOLAC protocol""",Population-specific,"""significantly""",Asserted,,"""OR 0.62 (0.40-0.97), p=0.03""",odds ratio,0.62,95% CI,0.40-0.97,Original to this study,,"""Multivariable logistic regression""",Statistical modelling,Association,"""Israel""",Country,"""2010–2014""",multi-year,"""1,767 women attempting TOLAC""",Human
ashwal2015,Results,v0.2.0-alpha,"""interval from prior CS""",inter_delivery_interval,No,"""successful VBAC""",vbac_success,"""interval from prior CS (1.13, 1.04-1.22, P=0.004)""",Yes,Subject→Object,Positive,"""multivariable adjustment""",Temporal,"""significantly""",Asserted,"""[FLAG] Multivariate OR 1.13 suggests longer interval = more success, but bivariate showed failed group had LONGER interval (5.07 vs 3.71 yr). Likely confounded by parity/prior VBAC. Reported relationship as stated by authors.""","""OR 1.13 (1.04-1.22), p=0.004 per year""",odds ratio per year,1.13,95% CI,1.04-1.22,Original to this study,,"""Multivariable logistic regression""",Statistical modelling,Association,"""Israel""",Country,"""2010–2014""",multi-year,"""1,767 women attempting TOLAC""",Human
ashwal2015,Results,v0.2.0-alpha,"""previous CS for recurring reason""",prior_caesarean_indication_recurring,No,"""successful VBAC""",vbac_success,"""Previous CS for recurring reason 0.52 (0.35-0.80) 0.003""",Yes,Subject→Object,Negative,"""Israeli tertiary hospital""",Unconditional,"""significantly""",Asserted,,"""OR 0.52 (0.35-0.80), p=0.003""",odds ratio,0.52,95% CI,0.35-0.80,Original to this study,,"""Multivariable logistic regression""",Statistical modelling,Association,"""Israel""",Country,"""2010–2014""",multi-year,"""1,767 women attempting TOLAC""",Human
ashwal2015,Results,v0.2.0-alpha,"""maternal age""",maternal_age,No,"""successful VBAC""",vbac_success,"""Maternal age* 0.98 (0.94-1.02) 0.29""",No,Subject→Object,Indeterminate,"""multivariable""",Unconditional,"""not significant""",Possible,,"""OR 0.98 (0.94-1.02) per year, p=0.29""",odds ratio per year,0.98,95% CI,0.94-1.02,Original to this study,,"""Multivariable logistic regression""",Statistical modelling,Association,"""Israel""",Country,"""2010–2014""",multi-year,"""1,767 women attempting TOLAC""",Human
ashwal2015,Results,v0.2.0-alpha,"""birthweight""",macrosomia,No,"""successful VBAC""",vbac_success,"""Birthweight* 1.00 (0.99-1.00) 0.11""",No,Subject→Object,Indeterminate,"""multivariable (whole cohort); macrosomia ≥4000g was excluded""",Unconditional,"""not significant""",Possible,,"""OR 1.00 (0.99-1.00) per gram, p=0.11""",odds ratio,1.00,95% CI,0.99-1.00,Original to this study,,"""Multivariable logistic regression""",Statistical modelling,Association,"""Israel""",Country,"""2010–2014""",multi-year,"""1,767 women attempting TOLAC""",Human
ashwal2015,Results,v0.2.0-alpha,"""birthweight (subgroup: no prior vaginal delivery)""",macrosomia,No,"""successful VBAC""",vbac_success,"""For women with no prior vaginal birth, only birthweight was associated with VBAC (0.99, 0.99-1.00, P=0.02)""",Yes,Subject→Object,Negative,"""subgroup of women with no prior vaginal delivery""",Population-specific,"""significantly""",Asserted,,"""OR 0.99 (0.99-1.00), p=0.02""",odds ratio per gram,0.99,95% CI,0.99-1.00,Original to this study,,"""Subgroup multivariable logistic regression""",Statistical modelling,Association,"""Israel""",Country,"""2010–2014""",multi-year,"""789 women with no prior vaginal deliveries attempting TOLAC""",Human
ashwal2015,Results,v0.2.0-alpha,"""failed TOLAC""",tolac_failure,No,"""uterine rupture""",uterine_rupture,"""Women who had successful VBAC had significantly lower rate of uterine rupture (diagnosed following the delivery) as compared to those with failed TOLAC (0.6% vs. 7.4%, respectively)""",Yes,Subject→Object,Positive,"""TOLAC""",Population-specific,"""significantly""",Asserted,"""Strong association between failed TOLAC and rupture risk; could reflect causation in either direction (rupture causes failure, or factors that lead to failed labour predispose to rupture).""","""0.6% vs 7.4%, p<0.001""",proportion,7.4%,Not reported,Not reported,Original to this study,,"""Retrospective cohort""",Observation,Association,"""Israel""",Country,"""2010–2014""",multi-year,"""1,767 women attempting TOLAC""",Human
ashwal2015,Results,v0.2.0-alpha,"""failed TOLAC""",tolac_failure,No,"""uterine scar dehiscence""",uterine_dehiscence,"""Uterine scar dehiscence [...] 0.2% in VBAC vs 9.8% in failed TOLAC""",Yes,Subject→Object,Positive,"""TOLAC""",Population-specific,"""significantly""",Asserted,,"""0.2% vs 9.8%, p<0.001""",proportion,9.8%,Not reported,Not reported,Original to this study,,"""Retrospective cohort""",Observation,Association,"""Israel""",Country,"""2010–2014""",multi-year,"""1,767 women attempting TOLAC""",Human
