paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
bisseleua2013,Results,v0.2.0-alpha,"""shade index""",shade_index [UNVERIFIED],No,"""cocoa yield""",cocoa_yield,"""Shade index was negatively related to yield, with yield significantly higher at shade and herb covers <50%""",Yes,Subject→Object,Negative,"""smallholder cocoa agroforests in southern Cameroon""",Population-specific,"""significantly""",Asserted,"""[FLAG] novel subject code: shade_index — composite of 8 variables (tree count, species, density, herbs, herb species, tree height, % shade, % herb cover).""","""Shade cover: F1,19=14.83, P<0.001; yield ~ 1500-2300 kg/ha at low shade vs ~900-1500 at high shade""",F-statistic,14.83,p-value,p<0.001,Original to this study,,"""Multivariate linear regression with ANOVA on observational plot-level data""",Statistical modelling,Association,"""5 cocoa-growing regions in Central Region of Cameroon (Ngomedzap, Bakoa, Obala, Talba, Kedia)""",Country,"""Two cocoa growing seasons, March to December (year not stated)""",multi-year,"""20 cocoa agroforests (4 plantations × 5 regions), 1-3 ha each, smallholder-owned""",Terrestrial ecosystem
bisseleua2013,Results,v0.2.0-alpha,"""shade index""",shade_index [UNVERIFIED],No,"""number of herbivores (mirid bugs and cocoa pod borers)""",pod_loss_to_pests,"""The number of herbivores (mirid bugs and cocoa pod borers) and the rate of herbivory on cocoa decreased with increasing shade index""",Yes,Subject→Object,Negative,"""smallholder cocoa agroforests""",Population-specific,"""significantly""",Asserted,,"""y=26.9-36.9x, r²=0.76, F1,19=57.8, P<0.0001""",linear regression slope,-36.9,r-squared,0.76,Original to this study,,"""Weekly pest monitoring on 30 cocoa trees per plantation""",Statistical modelling,Association,"""Cameroon""",Country,"""Two cocoa seasons""",multi-year,"""20 cocoa agroforests""",Terrestrial ecosystem
bisseleua2013,Results,v0.2.0-alpha,"""shade index""",shade_index [UNVERIFIED],No,"""rate of herbivory on cocoa pods""",pod_loss_to_pests,"""rate of herbivory on cocoa decreased with increasing shade index [...] y=85.1-97.5x, r²=0.64""",Yes,Subject→Object,Negative,"""smallholder cocoa agroforests""",Population-specific,"""significantly""",Asserted,"""Captures the herbivory-rate finding alongside the species-count finding above.""","""y=85.1-97.5x, r²=0.64, F1,19=32.4, P<0.0001""",linear regression slope,-97.5,r-squared,0.64,Original to this study,,"""Observational damage scoring""",Statistical modelling,Association,"""Cameroon""",Country,"""Two cocoa seasons""",multi-year,"""20 cocoa agroforests""",Terrestrial ecosystem
bisseleua2013,Results,v0.2.0-alpha,"""shade index""",shade_index [UNVERIFIED],No,"""ant species richness""",natural_enemy_abundance,"""Species richness of ants significantly decreased [...] with decreasing shade index""",Yes,Subject→Object,Positive,"""smallholder cocoa agroforests""",Population-specific,"""significantly""",Asserted,"""Coded under natural_enemy_abundance; ants are biological control agents in cocoa.""","""y=0.50+11.3x, r²=0.68, F1,19=37.9, P<0.0001""",linear regression slope,11.3,r-squared,0.68,Original to this study,,"""Bait-plate ant sampling + visual surveys""",Observation,Association,"""Cameroon""",Country,"""Two cocoa seasons""",multi-year,"""20 cocoa agroforests""",Terrestrial ecosystem
bisseleua2013,Results,v0.2.0-alpha,"""shade index""",shade_index [UNVERIFIED],No,"""number of spider webs and wasp nests""",natural_enemy_abundance,"""The number of spider webs and wasp nests was significantly higher at higher shade indices""",Yes,Subject→Object,Positive,"""smallholder cocoa agroforests""",Population-specific,"""significantly""",Asserted,,"""F2,19=157.2, P<0.0001""",F-statistic,157.2,p-value,p<0.0001,Original to this study,,"""Visual survey of webs/nests""",Observation,Association,"""Cameroon""",Country,"""Two cocoa seasons""",multi-year,"""20 cocoa agroforests""",Terrestrial ecosystem
bisseleua2013,Results,v0.2.0-alpha,"""density of native shade tree species""",shade_tree_density,No,"""number of spider webs and wasp nests""",natural_enemy_abundance,"""The number of spider webs and wasp nests significantly increased with increasing density of native shade trees""",Yes,Subject→Object,Positive,"""native shade trees only""",Population-specific,"""significantly""",Asserted,"""Note: distinct from exotic-tree density which shows the opposite pattern.""","""F1,19=11.5, r²=0.39, P<0.005""",F-statistic,11.5,r-squared,0.39,Original to this study,,"""Linear regression""",Statistical modelling,Association,"""Cameroon""",Country,"""Two cocoa seasons""",multi-year,"""20 cocoa agroforests""",Terrestrial ecosystem
bisseleua2013,Results,v0.2.0-alpha,"""density of exotic shade tree species""",shade_tree_density,No,"""number of spider webs and wasp nests""",natural_enemy_abundance,"""This number also tends to decrease with the density of exotic shade trees""",Yes,Subject→Object,Negative,"""exotic shade trees only""",Population-specific,"""tends to decrease""",Probable,"""Reported as a tendency; not statistically conclusive (r²=0.01, p=0.64).""","""r²=0.01, p=0.64 (NS)""",r-squared,0.01,p-value,p=0.64,Original to this study,,"""Linear regression""",Statistical modelling,Association,"""Cameroon""",Country,"""Two cocoa seasons""",multi-year,"""20 cocoa agroforests""",Terrestrial ecosystem
bisseleua2013,Results,v0.2.0-alpha,"""number of native shade trees""",shade_tree_density,No,"""cocoa yield""",cocoa_yield,"""Native shade trees negatively affected yield [...] y=2223.6-2.8x, F1,19=5.9, r²=0.25, p<0.05""",Yes,Subject→Object,Negative,"""native shade trees""",Population-specific,"""significantly""",Asserted,,"""y=2223.6-2.8x, F1,19=5.9, r²=0.25, p<0.05""",linear regression slope,-2.8,r-squared,0.25,Original to this study,,"""Linear regression""",Statistical modelling,Association,"""Cameroon""",Country,"""Two cocoa seasons""",multi-year,"""20 cocoa agroforests""",Terrestrial ecosystem
bisseleua2013,Results,v0.2.0-alpha,"""number of exotic shade trees""",shade_tree_density,No,"""cocoa yield""",cocoa_yield,"""[exotic shade trees vs yield] r²=0.05, p=0.34""",No,Subject→Object,Indeterminate,"""exotic shade trees""",Population-specific,"""not significant""",Possible,,"""r²=0.05, p=0.34""",r-squared,0.05,p-value,p=0.34,Original to this study,,"""Linear regression""",Statistical modelling,Association,"""Cameroon""",Country,"""Two cocoa seasons""",multi-year,"""20 cocoa agroforests""",Terrestrial ecosystem
bisseleua2013,Results,v0.2.0-alpha,"""shade index""",shade_index [UNVERIFIED],No,"""annual net return per hectare""",farmer_net_returns,"""intensified cocoa production increased annual net returns from US$ 1194/ha on plots with 0.69 shade index to US$ 2349/ha with 0.59, and to US$ 3801/ha on plots with 0.41 shade index""",Yes,Subject→Object,Negative,"""smallholder cocoa agroforests; lower shade index = higher net return""",Population-specific,"""significantly""",Asserted,"""Direction Negative for shade-index → net-return (less shade = more return).""","""F1,19=45.6, r²=0.72, p<0.0001""",F-statistic,45.6,r-squared,0.72,Original to this study,,"""Household survey + plot-level regression""",Statistical modelling,Association,"""Cameroon""",Country,"""Two cocoa seasons""",multi-year,"""200 farmers per region across 5 regions""",Human
