paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
kongor2024,Discussion,v0.2.0-alpha,"""cocoa monoculture systems""",agroforestry_vs_monoculture,No,"""cocoa yield""",cocoa_yield,"""some studies have reported higher cocoa yields under cocoa monoculture systems but with high inputs (fertilizers and agrochemicals)""",Yes,Subject→Object,Negative,"""monoculture vs agroforestry; with high inputs""",Technology-specific,"""reported""",Probable,"""Direction Negative for agroforestry→yield (monoculture has higher yield).""",Not reported,narrative only,Not reported,Not reported,Not reported,Cited from prior work,"""Ahenkorah et al. Exp Agric 1987;23:31-39; Armengot et al. Agron Sustainable Dev 2016;36:1-10""","""Cited cohort/experimental studies""",Statistical modelling,Controlled comparison,"""West Africa""",Region,"""Not reported""",Not reported,"""Smallholder cocoa farms""",Terrestrial ecosystem
kongor2024,Discussion,v0.2.0-alpha,"""cocoa agroforestry systems""",agroforestry_vs_monoculture,No,"""biodiversity conservation, carbon sequestration, soil fertility, pest control, microclimatic controls""",natural_enemy_abundance,"""Cocoa agroforestry is reported to provide a variety of ecological benefits, including biodiversity conservation for flora and fauna, carbon sequestration, preserving and strengthening soil moisture and fertility, pest control, and microclimatic controls""",Yes,Subject→Object,Positive,"""cocoa agroforestry""",Population-specific,"""is reported to provide""",Probable,"""Bundled ecosystem-services claim mirroring Bisseleua 2013.""",Not reported,narrative only,Not reported,Not reported,Not reported,Synthesised from multiple sources,"""Utomo et al. 2016; Sanial et al. 2020; Marconi and Armengot 2020; Kouassi et al. 2021""","""Cited reviews""",Review,Association,"""Pantropical""",Global,"""Not reported""",Not reported,"""Cocoa agroforestry systems""",Terrestrial ecosystem
kongor2024,Discussion,v0.2.0-alpha,"""shade tree species (some)""",functional_diversity_of_shade_trees,No,"""cocoa yield""",cocoa_yield,"""Utomo et al. (2016) discovered that not all trees are beneficial in cocoa agroforestry and that the cocoa-coconut agroforestry system performed better in Indonesia than other cocoa monoculture and cocoa-rubber agroforestry systems across all environmental impact categories""",Yes,Subject→Object,Positive,"""tree species selection matters; cocoa-coconut performed best""",Technology-specific,"""discovered""",Probable,"""Direction Positive for selected-tree-diversity → yield (some shade-tree combinations beat monoculture).""",Not reported,narrative only,Not reported,Not reported,Not reported,Cited from prior work,"""Utomo B et al. J Clean Prod 2016;134:583-591""","""Cited LCA study""",Statistical modelling,Association,"""Indonesia""",Country,"""Not reported""",Not reported,"""Cocoa-coconut agroforestry plots""",Terrestrial ecosystem
kongor2024,Discussion,v0.2.0-alpha,"""excessive shade cover""",shade_cover_percentage,No,"""cocoa yield""",cocoa_yield,"""Grant et al. (2022) identified excessive shade cover in cocoa agroforestry farms [...] as limiting factors to cocoa agroforestry systems""",Yes,Subject→Object,Negative,"""cocoa agroforestry""",Population-specific,"""identified""",Probable,,Not reported,narrative only,Not reported,Not reported,Not reported,Cited from prior work,"""Grant MK et al. J Agrofor Environ 2022;15:38-51""","""Cited review""",Review,Association,"""Not specified""",Region,"""Not reported""",Not reported,"""Cocoa agroforestry systems""",Terrestrial ecosystem
kongor2024,Discussion,v0.2.0-alpha,"""hand pollination (100%)""",pollination_success,No,"""cocoa yield""",cocoa_yield,"""13% hand pollination, but neither fertilizer nor pesticide application, increased yield by 51%, while 100% hand pollination increased yield by 161%""",Yes,Subject→Object,Positive,"""artificial pollination supplementing natural""",Technology-specific,"""increased""",Asserted,"""Strong evidence that cocoa yield is pollination-limited.""","""+51% (13% hand pollination); +161% (100% hand pollination)""",percent change,161,Not reported,Not reported,Cited from prior work,"""Toledo-Hernández M et al. Agric Ecosyst Environ 2020;304:107160""","""Cited experimental trial""",Experiment,Intervention,"""Indonesia""",Country,"""Not reported""",Not reported,"""Cocoa plots with hand-pollination treatments""",Terrestrial ecosystem
kongor2024,Discussion,v0.2.0-alpha,"""hand pollination (10%)""",pollination_success,No,"""cocoa fruit set and mature fruits""",pod_count,"""Studies by Toledo-Hernández et al. (2023) reported hand pollination by as little as 10% tripled fruit set and mature fruits in Brazil's agroforests""",Yes,Subject→Object,Positive,"""Brazilian cocoa agroforests""",Population-specific,"""tripled""",Asserted,"""Direct evidence pollination is bottleneck; suggests biodiversity → yield through pollinator service.""","""3x fruit set""",fold change,3,Not reported,Not reported,Cited from prior work,"""Toledo-Hernández M et al. Agric Ecosyst Environ 2023;355:108612""","""Cited experimental""",Experiment,Intervention,"""Brazil""",Country,"""Not reported""",Not reported,"""Cocoa agroforests""",Terrestrial ecosystem
kongor2024,Discussion,v0.2.0-alpha,"""shade-tolerant varieties""",cocoa_variety [UNVERIFIED],No,"""cocoa yield under agroforestry""",cocoa_yield,"""Niether et al. (2020) also observed that, despite all of the benefits of cocoa agroforestry systems, lower cocoa yields may still be one of the most important factors impeding broader adoption of diversified production systems""",Yes,Subject→Object,Positive,"""cocoa agroforestry""",Technology-specific,"""recommended additional research""",Probable,"""[FLAG] novel subject code: cocoa_variety. Direction: tolerant varieties → restored yield under shade.""",Not reported,narrative only,Not reported,Not reported,Not reported,Cited from prior work,"""Niether W et al. Environ Res Lett 2020;15(10):104085""","""Cited meta-analysis""",Review,Association,"""Pantropical""",Global,"""Not reported""",Not reported,"""Cocoa agroforestry systems""",Terrestrial ecosystem
kongor2024,Discussion,v0.2.0-alpha,"""selected shade tree species and management practices (pruning, thinning)""",functional_diversity_of_shade_trees,No,"""cocoa yield""",cocoa_yield,"""the negative interactions between cocoa and shade trees in agroforestry systems can be mitigated by carefully selecting shade tree species and implementing management practices such as pruning or thinning""",Yes,Subject→Object,Positive,"""cocoa agroforestry; management intervention""",Technology-specific,"""can be mitigated""",Probable,"""Direction Positive for functional-diversity-management → yield restoration.""",Not reported,narrative only,Not reported,Not reported,Not reported,Cited from prior work,"""Blaser-Hart WJ et al. Agric Ecosyst Environ 2021;322:107676; Asitoakor BK et al. Agric Syst 2022;202:103476""","""Cited cohort""",Statistical modelling,Association,"""Ghana; West Africa""",Region,"""Not reported""",Not reported,"""Cocoa agroforestry systems""",Terrestrial ecosystem
kongor2024,Discussion,v0.2.0-alpha,"""cocoa agroforestry vs monoculture""",agroforestry_vs_monoculture,No,"""maternal/perinatal outcomes — biodiversity, soil, carbon""",natural_enemy_abundance,"""several studies have shown that agroforestry systems have environmental and ecological benefits that promote biodiversity""",Yes,Subject→Object,Positive,"""cocoa agroforestry""",Population-specific,"""have shown""",Probable,,Not reported,narrative only,Not reported,Not reported,Not reported,Cited from prior work,"""Marconi and Armengot 2020; Kouassi et al. 2021""","""Cited reviews""",Review,Association,"""Pantropical""",Global,"""Not reported""",Not reported,"""Cocoa agroforestry systems""",Terrestrial ecosystem
kongor2024,Discussion,v0.2.0-alpha,"""climate-smart farming (agroforestry)""",agroforestry_vs_monoculture,No,"""climate-change resilience and agricultural production""",cocoa_yield,"""Blaser-Hart et al. (2021) emphasized that agroforestry is a climate-smart strategy used by agricultural stakeholders to combat climate change and improve agricultural production sustainability""",Yes,Subject→Object,Positive,"""climate-change adaptation""",Temporal,"""emphasized""",Probable,"""Long-term resilience claim. Coded with cocoa_yield as the closest production-outcome match.""",Not reported,narrative only,Not reported,Not reported,Not reported,Cited from prior work,"""Blaser-Hart WJ et al. Agric Ecosyst Environ 2021;322:107676""","""Cited cohort""",Statistical modelling,Association,"""Ghana""",Country,"""Not reported""",Not reported,"""Cocoa agroforestry systems""",Terrestrial ecosystem
