paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
seffah2014,Results,v0.2.0-alpha,"""birth weight 2.50-2.99 kg""",macrosomia,No,"""failed VBAC""",tolac_failure,"""Birth weight of 2.5-2.99kg was associated with the lowest incidence of failed TOLAC and repeat CS [...] Adjusted OR 0.288 (0.223-0.370)""",Yes,Subject→Object,Negative,"""West African tertiary hospital cohort""",Population-specific,"""statistically significant""",Asserted,"""Reported as failure outcome; coded valence Negative for birth-weight→failure (this weight range protective against failure).""","""AOR 0.288 (0.223-0.370), p<0.001""",odds ratio for failure,0.288,95% CI,0.223-0.370,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""Korle Bu Teaching Hospital, Accra, Ghana""",Country,"""January 2010 to December 2014""",multi-year,"""2,472 women with one prior CS undergoing TOLAC""",Human
seffah2014,Results,v0.2.0-alpha,"""birth weight ≥ 3.50 kg""",macrosomia,No,"""failed VBAC""",tolac_failure,"""Birth weights of less than 1.5kg, and 3.5Kg or greater were associated significantly with higher incidence failed TOLAC and emergency repeat CS [...] 3.50-3.99 kg AOR 4.025""",Yes,Subject→Object,Positive,"""Ghana cohort""",Population-specific,"""significantly""",Asserted,,"""AOR 4.025 (3.248-4.990) for 3.50-3.99 kg, p<0.001""",odds ratio for failure,4.025,95% CI,3.248-4.990,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""Ghana""",Country,"""2010–2014""",multi-year,"""2,472 women""",Human
seffah2014,Results,v0.2.0-alpha,"""birth weight ≥ 4.00 kg""",macrosomia,No,"""failed VBAC""",tolac_failure,"""=4.00 (n = 172) 126 (73.3) 4.815 [...] 3.898 (2.776-5.732), p<0.001""",Yes,Subject→Object,Positive,"""Ghana cohort""",Population-specific,"""significantly""",Asserted,,"""AOR 3.898 (2.776-5.732) for ≥4.00 kg, p<0.001""",odds ratio for failure,3.898,95% CI,2.776-5.732,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""Ghana""",Country,"""2010–2014""",multi-year,"""2,472 women""",Human
seffah2014,Results,v0.2.0-alpha,"""maternal age""",maternal_age,No,"""successful VBAC""",vbac_success,"""Women who had successful TOLAC were generally younger [...] Maternal age (years) 29.60 ± 5.03 vs 30.89 ± 4.99, p<0.001""",Yes,Subject→Object,Negative,"""Ghana cohort""",Population-specific,"""statistically significant""",Asserted,,"""mean 29.60 vs 30.89 yr, p<0.001""",mean difference,-1.29,Not reported,Not reported,Original to this study,,"""Independent t-test""",Statistical modelling,Association,"""Ghana""",Country,"""2010–2014""",multi-year,"""2,472 women""",Human
seffah2014,Results,v0.2.0-alpha,"""parity""",parity,No,"""successful VBAC""",vbac_success,"""higher parity [...] Parity 1.78 ± 1.01 vs 1.61 ± 1.07, p=0.001""",Yes,Subject→Object,Positive,"""Ghana cohort""",Population-specific,"""significant""",Asserted,,"""mean 1.78 vs 1.61, p=0.001""",mean difference,0.17,Not reported,Not reported,Original to this study,,"""Independent t-test""",Statistical modelling,Association,"""Ghana""",Country,"""2010–2014""",multi-year,"""2,472 women""",Human
seffah2014,Results,v0.2.0-alpha,"""number of ANC visits""",antenatal_care [UNVERIFIED],No,"""successful VBAC""",vbac_success,"""Number of ANC visits 6.09 ± 2.69 vs 6.78 ± 2.67, p=0.072""",No,Subject→Object,Indeterminate,"""Ghana cohort""",Unconditional,"""borderline""",Possible,"""[FLAG] novel subject code: antenatal_care.""","""mean 6.09 vs 6.78 visits, p=0.072""",mean difference,-0.69,Not reported,Not reported,Original to this study,,"""Independent t-test""",Statistical modelling,Association,"""Ghana""",Country,"""2010–2014""",multi-year,"""2,472 women""",Human
seffah2014,Results,v0.2.0-alpha,"""gestational age at delivery""",gestational_age,No,"""successful VBAC""",vbac_success,"""GA at delivery (weeks) 37.72 ± 2.65 vs 38.51 ± 2.23, p<0.001""",Yes,Subject→Object,Negative,"""Ghana cohort""",Temporal,"""statistically significant""",Asserted,,"""mean 37.72 vs 38.51 wk, p<0.001""",mean difference,-0.79,Not reported,Not reported,Original to this study,,"""Independent t-test""",Statistical modelling,Association,"""Ghana""",Country,"""2010–2014""",multi-year,"""2,472 women""",Human
seffah2014,Results,v0.2.0-alpha,"""Apgar score at 1 min""",apgar_score,No,"""successful VBAC""",vbac_success,"""Apgar score at 1 min 6.57 ± 1.90 vs 6.33 ± 1.73, p<0.026""",Yes,Object→Subject,Positive,"""Ghana cohort""",Population-specific,"""statistically significant""",Asserted,"""Direction Object→Subject: Apgar is outcome, not predictor. Successful VBAC has slightly higher Apgar at 1 min.""","""mean 6.57 vs 6.33, p<0.026""",mean difference,0.24,Not reported,Not reported,Original to this study,,"""Independent t-test""",Statistical modelling,Association,"""Ghana""",Country,"""2010–2014""",multi-year,"""2,472 women""",Human
seffah2014,Results,v0.2.0-alpha,"""TOLAC at Korle Bu""",uterine_rupture,Yes,,,"""4.3% of women who underwent TOLAC had uterine rupture""",Yes,Indeterminate,Indeterminate,"""West African tertiary hospital""",Population-specific,"""4.3%""",Asserted,"""subject_trend_only=Yes: rupture incidence reported. 4.3% is notably high vs 0.7% expected rate; suggests resource-limited setting effects.""","""4.3% (41/960 failed cases reported as ruptured uterus indication)""",rate,4.3%,Not reported,Not reported,Original to this study,,"""Retrospective cohort""",Observation,Association,"""Ghana""",Country,"""2010–2014""",multi-year,"""2,472 women undergoing TOLAC""",Human
seffah2014,Results,v0.2.0-alpha,"""indications for failed TOLAC""",prior_caesarean_indication_recurring,Yes,,,"""major indications for emergency repeat CS among women undergoing TOLAC were CPD (17.0%), failure to progress (16.0%), severe preeclampsia/eclampsia (15.4%), fetal macrosomia (13.0%), slow progress of labour (12.5%) and fetal distress (10.8%)""",Yes,Indeterminate,Indeterminate,"""Ghana cohort""",Population-specific,"""major indications""",Asserted,"""subject_trend_only=Yes: descriptive distribution of failure indications.""",Not reported,proportion,17.0%,Not reported,Not reported,Original to this study,,"""Retrospective cohort""",Observation,Association,"""Ghana""",Country,"""2010–2014""",multi-year,"""960 failed TOLAC women""",Human
