paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
jagoret2017,Results,v0.2.0-alpha,"""mean basal area per cocoa tree (KkoBA)""",cocoa_tree_basal_area [UNVERIFIED],No,"""mean number of pods per cocoa tree""",pod_count,"""The mean number of pods per cocoa tree was positively correlated with the mean basal area per cocoa tree (explanatory power of 46.5% of the variability)""",Yes,Subject→Object,Positive,"""smallholder cocoa agroforests in central Cameroon""",Population-specific,"""highly significant""",Asserted,"""[FLAG] novel subject code: cocoa_tree_basal_area (vigor proxy). Strong vigor → productivity link.""","""linear regression: NbPods = 0.232·KkoBA + b, r²=0.465, p<0.0001""",linear regression slope,0.232,r-squared,0.465,Original to this study,,"""Regional agronomic diagnosis on 48 cocoa agroforests""",Statistical modelling,Association,"""Central Cameroon (Bokito, Zima, Ngomedzap)""",Country,"""2008–2009 (2 cocoa years)""",multi-year,"""48 productive cocoa agroforests aged 11–77 years""",Terrestrial ecosystem
jagoret2017,Results,v0.2.0-alpha,"""density of associated trees (TREDens)""",shade_tree_density,No,"""rate of unproductive adult cocoa trees""",unproductive_cocoa_rate [UNVERIFIED],"""The unproductive cocoa tree rate was positively correlated with [...] the associated tree density""",Yes,Subject→Object,Positive,"""smallholder cocoa agroforests""",Population-specific,"""significantly""",Asserted,"""[FLAG] novel object code: unproductive_cocoa_rate. Mechanism: shade-tree competition reduces vigour of subset of cocoa trees.""","""multiple regression coefficient 0.787, p<0.0001, cumulative r²=0.494""",regression coefficient,0.787,p-value,p<0.0001,Original to this study,,"""Multiple linear regression, forward stepwise""",Statistical modelling,Association,"""Central Cameroon""",Country,"""2008–2009""",multi-year,"""48 cocoa agroforests""",Terrestrial ecosystem
jagoret2017,Results,v0.2.0-alpha,"""number of species associated with cocoa trees (TRESpe)""",shade_tree_species_richness,No,"""rate of unproductive adult cocoa trees""",unproductive_cocoa_rate [UNVERIFIED],"""Conversely, it was negatively correlated with the number of species associated with cocoa trees""",Yes,Subject→Object,Negative,"""smallholder cocoa agroforests""",Population-specific,"""significantly""",Asserted,"""Interpretation: more diverse shade trees = fewer unproductive cocoa trees. Indirect Positive effect on yield. Direction reverses the headline 'shade reduces yield' story.""","""regression coefficient −7.269, p<0.0001""",regression coefficient,-7.269,p-value,p<0.0001,Original to this study,,"""Multiple linear regression""",Statistical modelling,Association,"""Central Cameroon""",Country,"""2008–2009""",multi-year,"""48 cocoa agroforests""",Terrestrial ecosystem
jagoret2017,Results,v0.2.0-alpha,"""rate of unproductive adult cocoa trees""",unproductive_cocoa_rate [UNVERIFIED],No,"""cocoa yield""",cocoa_yield,"""the unproductive adult cocoa tree rate was negatively correlated with the estimated cocoa yield""",Yes,Subject→Object,Negative,"""smallholder cocoa agroforests""",Population-specific,"""significantly""",Asserted,,"""regression coefficient −7.438, p=0.001, model cumulative r²=0.834""",regression coefficient,-7.438,p-value,p=0.001,Original to this study,,"""Multiple linear regression""",Statistical modelling,Association,"""Central Cameroon""",Country,"""2008–2009""",multi-year,"""48 cocoa agroforests""",Terrestrial ecosystem
jagoret2017,Results,v0.2.0-alpha,"""relative basal area of forest trees (FOrelBA)""",shade_tree_density,No,"""mean basal area per cocoa tree""",cocoa_tree_basal_area [UNVERIFIED],"""the mean basal area per cocoa tree was positively correlated with [...] that of forest trees""",Yes,Subject→Object,Positive,"""smallholder cocoa agroforests""",Population-specific,"""significantly""",Asserted,"""Coefficient positive but small — interpretation: in well-managed agroforests where forest trees occupy more space, cocoa trees also grow larger. Indirect Positive effect.""","""coefficient 0.245, p=0.021, cumulative r²=0.781""",regression coefficient,0.245,p-value,p=0.021,Original to this study,,"""Multiple linear regression""",Statistical modelling,Association,"""Central Cameroon""",Country,"""2008–2009""",multi-year,"""48 cocoa agroforests""",Terrestrial ecosystem
jagoret2017,Discussion,v0.2.0-alpha,"""removal of shade tree""",agroforestry_vs_monoculture,No,"""mean cocoa yield per tree""",cocoa_yield,"""Besse (1972) who, in Côte d'Ivoire, showed that the removal of shade tree led to a 253% increase in the mean cocoa yield per tree over a 5-year period""",Yes,Subject→Object,Negative,"""shade present vs removed""",Unconditional,"""showed""",Asserted,"""Cited finding; coded as agroforestry→yield Negative (more shade = less yield).""","""+253% yield increase after shade removal""",percent change,253,Not reported,Not reported,Cited from prior work,"""Besse J. Café Cacao Thé 1972;16:317–331""","""Cited experimental shade removal trial""",Experiment,Intervention,"""Côte d'Ivoire""",Country,"""5-year period (1960s)""",multi-year,"""Cocoa plantation, Côte d'Ivoire""",Terrestrial ecosystem
jagoret2017,Discussion,v0.2.0-alpha,"""monocropped cocoa trees""",agroforestry_vs_monoculture,No,"""cocoa yield per tree""",cocoa_yield,"""Lachenaud and Mossu (1985) showed that the yield of monocropped cocoa trees was 247% higher than that of a cocoa agroforest""",Yes,Subject→Object,Negative,"""monocrop vs agroforest""",Unconditional,"""showed""",Asserted,"""Same direction as Besse 1972; coded Negative for agroforestry → yield.""","""+247% in monocrop vs agroforest""",percent difference,247,Not reported,Not reported,Cited from prior work,"""Lachenaud P, Mossu G. Café Cacao Thé 1985;29:21–30""","""Cited experimental comparison""",Experiment,Controlled comparison,"""Côte d'Ivoire""",Country,"""Not reported""",Not reported,"""Cocoa plantation""",Terrestrial ecosystem
jagoret2017,Discussion,v0.2.0-alpha,"""intercropping with orange or avocado trees""",agroforestry_vs_monoculture,No,"""pods per cocoa tree per year""",pod_count,"""These latter yielded 30.3 pods tree−1 when combined with orange trees and 28.3 pods tree−1 with avocado trees, instead of 64 pods tree−1 year−1 in the monocrop""",Yes,Subject→Object,Negative,"""orange or avocado as shade trees""",Population-specific,"""showed""",Asserted,"""Quantitative: ~50% yield reduction per tree when shade trees present.""","""30.3 vs 28.3 vs 64 pods/tree/yr""",pod count per tree,30.3,Not reported,Not reported,Cited from prior work,"""Koko LK et al. Agrofor Syst 2013;87:1043–1052""","""Cited on-farm trial""",Experiment,Controlled comparison,"""Côte d'Ivoire""",Country,"""Not reported""",Not reported,"""Cocoa-fruit-tree intercropped plots""",Terrestrial ecosystem
jagoret2017,Discussion,v0.2.0-alpha,"""shade-tree cover""",shade_cover_percentage,No,"""cocoa growth and yield""",cocoa_yield,"""Blaser et al. (2017) who, in Ghana, showed that cocoa growth was lower under shade trees and decreased with increasing shade-tree cover, as it was also observed for cocoa yield""",Yes,Subject→Object,Negative,"""Ghanaian cocoa""",Population-specific,"""showed""",Asserted,,"""decrease with increasing shade-tree cover""",narrative only,Not reported,Not reported,Not reported,Cited from prior work,"""Blaser WJ, Oppong J, Yeboah E, Six J. Agric Ecosyst Environ 2017;243:83–91""","""Cited observational study""",Statistical modelling,Association,"""Ghana""",Country,"""Not reported""",Not reported,"""Cocoa agroforests""",Terrestrial ecosystem
jagoret2017,Discussion,v0.2.0-alpha,"""associated tree functional groups (some)""",functional_diversity_of_shade_trees,No,"""cocoa yield""",cocoa_yield,"""some associated functional groups of woody species were consistently related to higher cocoa yield""",Yes,Subject→Object,Positive,"""central Cameroon cocoa agroforests""",Population-specific,"""consistently related""",Probable,"""Cited finding; coded as functional diversity → yield Positive in selected functional groups.""",Not reported,narrative only,Not reported,Not reported,Not reported,Cited from prior work,"""Saj S et al. Agric Syst 2017;156:95–104""","""Cited cohort""",Statistical modelling,Association,"""Cameroon""",Country,"""Not reported""",Not reported,"""Cocoa plantations of Central Cameroon""",Terrestrial ecosystem
