paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
knight2013,Results,v0.2.0-alpha,"""maternal age > 34 years""",maternal_age,No,"""successful VBAC""",vbac_success,"""Maternal age (years) >34 [...] Adjusted OR 0.79 (0.77, 0.82)""",Yes,Subject→Object,Negative,"""national English cohort of second births after primary CS""",Population-specific,"""significantly""",Asserted,,"""Adjusted OR 0.79 (0.77, 0.82), p<0.001""",odds ratio,0.79,95% CI,0.77-0.82,Original to this study,,"""Multivariate logistic regression on Hospital Episode Statistics""",Statistical modelling,Association,"""English National Health Service""",Country,"""1 April 2004 to 31 March 2012""",multi-year,"""75,086 women attempting VBAC for their second birth""",Human
knight2013,Results,v0.2.0-alpha,"""maternal age < 24 years""",maternal_age,No,"""successful VBAC""",vbac_success,"""Maternal age (years) <24 [...] Adjusted OR 1.23 (1.17, 1.29)""",Yes,Subject→Object,Negative,"""national English cohort""",Population-specific,"""significantly""",Asserted,"""Younger age (<24) increases success — coded subject=maternal_age, valence=Negative (higher age → lower success).""","""Adjusted OR 1.23 (1.17, 1.29)""",odds ratio,1.23,95% CI,1.17-1.29,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""English NHS""",Country,"""2004–2012""",multi-year,"""75,086 women attempting VBAC""",Human
knight2013,Results,v0.2.0-alpha,"""Black ethnicity""",ethnicity,No,"""successful VBAC""",vbac_success,"""Black women had a particularly low success rate (OR, 0.54; 95% confidence interval [CI], 0.50–0.57)""",Yes,Subject→Object,Negative,"""compared with white women""",Population-specific,"""particularly low success rate""",Asserted,,"""Adjusted OR 0.54 (0.50–0.57)""",odds ratio,0.54,95% CI,0.50-0.57,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""English NHS""",Country,"""2004–2012""",multi-year,"""75,086 women attempting VBAC""",Human
knight2013,Results,v0.2.0-alpha,"""Asian ethnicity""",ethnicity,No,"""successful VBAC""",vbac_success,"""Asian [...] Adjusted OR 0.76 (0.71, 0.82)""",Yes,Subject→Object,Negative,"""compared with white women""",Population-specific,"""significantly""",Asserted,,"""Adjusted OR 0.76 (0.71, 0.82)""",odds ratio,0.76,95% CI,0.71-0.82,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""English NHS""",Country,"""2004–2012""",multi-year,"""75,086 women attempting VBAC""",Human
knight2013,Results,v0.2.0-alpha,"""emergency caesarean section as type of primary CS""",prior_caesarean_indication_recurring,No,"""successful VBAC""",vbac_success,"""Women who had an emergency caesarean section in their first birth also had a lower VBAC success rate [...] Adjusted OR 0.66 (0.63, 0.69)""",Yes,Subject→Object,Negative,"""compared with women whose primary CS was elective""",Unconditional,"""significantly""",Asserted,"""Coded with prior_caesarean_indication_recurring because emergency CS is a marker for in-labour, dystocia-related indications.""","""Adjusted OR 0.66 (0.63, 0.69)""",odds ratio,0.66,95% CI,0.63-0.69,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""English NHS""",Country,"""2004–2012""",multi-year,"""75,086 women attempting VBAC""",Human
knight2013,Results,v0.2.0-alpha,"""history of failed induction of labour""",induction_of_labour,No,"""successful VBAC""",vbac_success,"""those with a history of failed induction of labour (OR, 0.59; 95% CI, 0.53–0.67)""",Yes,Subject→Object,Negative,"""compared with fetal distress as reference indication""",Unconditional,"""least likely""",Asserted,"""[FLAG] coded under induction_of_labour though this is a prior-CS indication (failed IOL in the first pregnancy).""","""Adjusted OR 0.59 (0.53–0.67)""",odds ratio,0.59,95% CI,0.53-0.67,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""English NHS""",Country,"""2004–2012""",multi-year,"""75,086 women attempting VBAC""",Human
knight2013,Results,v0.2.0-alpha,"""pre-existing diabetes""",gestational_diabetes,No,"""successful VBAC""",vbac_success,"""Pre-existing conditions Diabetes [...] Adjusted OR 0.36 (0.29, 0.45)""",Yes,Subject→Object,Negative,"""national English cohort""",Population-specific,"""significantly""",Asserted,"""Pre-existing diabetes coded under gestational_diabetes vocab (subsumes pre-existing too).""","""Adjusted OR 0.36 (0.29, 0.45)""",odds ratio,0.36,95% CI,0.29-0.45,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""English NHS""",Country,"""2004–2012""",multi-year,"""75,086 women attempting VBAC""",Human
knight2013,Results,v0.2.0-alpha,"""pre-existing hypertension""",preeclampsia,No,"""successful VBAC""",vbac_success,"""Hypertension [...] Adjusted OR 0.74 (0.56, 0.98)""",Yes,Subject→Object,Negative,"""national English cohort""",Population-specific,"""significantly""",Asserted,"""Pre-existing hypertension coded under preeclampsia vocab as nearest match; could split out.""","""Adjusted OR 0.74 (0.56, 0.98), p=0.039""",odds ratio,0.74,95% CI,0.56-0.98,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""English NHS""",Country,"""2004–2012""",multi-year,"""75,086 women attempting VBAC""",Human
knight2013,Results,v0.2.0-alpha,"""gestational diabetes""",gestational_diabetes,No,"""successful VBAC""",vbac_success,"""Gestational diabetes [...] Adjusted OR 0.67 (0.61, 0.75)""",Yes,Subject→Object,Negative,"""characteristics of second pregnancy""",Temporal,"""significantly""",Asserted,,"""Adjusted OR 0.67 (0.61, 0.75)""",odds ratio,0.67,95% CI,0.61-0.75,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""English NHS""",Country,"""2004–2012""",multi-year,"""75,086 women attempting VBAC""",Human
knight2013,Results,v0.2.0-alpha,"""pre-eclampsia/eclampsia""",preeclampsia,No,"""successful VBAC""",vbac_success,"""Pre-eclampsia/eclampsia [...] Adjusted OR 0.49 (0.42, 0.58)""",Yes,Subject→Object,Negative,"""characteristics of second pregnancy""",Temporal,"""significantly""",Asserted,,"""Adjusted OR 0.49 (0.42, 0.58)""",odds ratio,0.49,95% CI,0.42-0.58,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""English NHS""",Country,"""2004–2012""",multi-year,"""75,086 women attempting VBAC""",Human
knight2013,Results,v0.2.0-alpha,"""premature rupture of membranes""",premature_rupture_of_membranes [UNVERIFIED],No,"""successful VBAC""",vbac_success,"""Premature rupture of membranes [...] Adjusted OR 0.62 (0.57, 0.68)""",Yes,Subject→Object,Negative,"""characteristics of second pregnancy""",Temporal,"""significantly""",Asserted,"""[FLAG] novel subject code: premature_rupture_of_membranes.""","""Adjusted OR 0.62 (0.57, 0.68)""",odds ratio,0.62,95% CI,0.57-0.68,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""English NHS""",Country,"""2004–2012""",multi-year,"""75,086 women attempting VBAC""",Human
knight2013,Results,v0.2.0-alpha,"""birthweight > 4000 g (second pregnancy)""",macrosomia,No,"""successful VBAC""",vbac_success,"""Birthweight (g) >4000 [...] Adjusted OR 0.50 (0.48, 0.53)""",Yes,Subject→Object,Negative,"""characteristics of second pregnancy""",Temporal,"""significantly""",Asserted,,"""Adjusted OR 0.50 (0.48, 0.53)""",odds ratio,0.50,95% CI,0.48-0.53,Original to this study,,"""Multivariate logistic regression""",Statistical modelling,Association,"""English NHS""",Country,"""2004–2012""",multi-year,"""75,086 women attempting VBAC""",Human
