paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
castilhos2006,Abstract,v0.2.0-alpha,"gold mining",gold_mining,No,"mercury use",mercury_use,"This study investigates the effects on fish and assesses human health hazards from mercury released in two gold mining areas in Indonesia: Tatelu (North Sulawesi Province) and Galangan (Katingan District, Central Kalimatan Province). In Tatelu, 154 fish specimens of 10 freshwater species were collected, as well as five marine species from the fish market. The mean concentration of total mercury in muscles of freshwater fish from this area was 0.58 ± 0.44 μg/g, with more than 45% of fish having Hg levels above the WHO guideline for human consumption of 0.5 μg/g. In Galangan, where 263 fish specimens of 25 species were collected, the total mercury in muscles averaged 0.25 ± 0.69 μg/g.",Yes,Subject→Object,Positive,"Mining company concession",Population-specific,,Possible,"Inferring the steps here; [2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional fish + sediment + human-hair mercury sampling at ASGM site",Observation,Association,"Indonesia, Talawanan watershed, North Sulawesi",Country,"2003-2004 sampling",snapshot,"Indonesia, Talawanan watershed, North Sulawesi; Mining company concession",Aquatic ecosystem
castilhos2006,Abstract,v0.2.0-alpha,"mercury use",mercury_use,No,"mecrury pollution",aquatic_mercury_pollution,"This study investigates the effects on fish and assesses human health hazards from mercury released in two gold mining areas in Indonesia: Tatelu (North Sulawesi Province) and Galangan (Katingan District, Central Kalimatan Province). In Tatelu, 154 fish specimens of 10 freshwater species were collected, as well as five marine species from the fish market. The mean concentration of total mercury in muscles of freshwater fish from this area was 0.58 ± 0.44 μg/g, with more than 45% of fish having Hg levels above the WHO guideline for human consumption of 0.5 μg/g. In Galangan, where 263 fish specimens of 25 species were collected, the total mercury in muscles averaged 0.25 ± 0.69 μg/g.",Yes,Subject→Object,Positive,"Mining company concession",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional fish + sediment + human-hair mercury sampling at ASGM site",Observation,Association,"Indonesia, Talawanan watershed, North Sulawesi",Country,"2003-2004 sampling",snapshot,"Indonesia, Talawanan watershed, North Sulawesi; Mining company concession",Aquatic ecosystem
castilhos2006,Abstract,v0.2.0-alpha,"mercury pollution",aquatic_mercury_pollution,No,"mercury bio-accumulation in fish",mercury_bio_accumulation,"This study investigates the effects on fish and assesses human health hazards from mercury released in two gold mining areas in Indonesia: Tatelu (North Sulawesi Province) and Galangan (Katingan District, Central Kalimatan Province). In Tatelu, 154 fish specimens of 10 freshwater species were collected, as well as five marine species from the fish market. The mean concentration of total mercury in muscles of freshwater fish from this area was 0.58 ± 0.44 μg/g, with more than 45% of fish having Hg levels above the WHO guideline for human consumption of 0.5 μg/g. In Galangan, where 263 fish specimens of 25 species were collected, the total mercury in muscles averaged 0.25 ± 0.69 μg/g.",Yes,Subject→Object,Positive,"Mining company concession",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional fish + sediment + human-hair mercury sampling at ASGM site",Observation,Association,"Indonesia, Talawanan watershed, North Sulawesi",Country,"2003-2004 sampling",snapshot,"Indonesia, Talawanan watershed, North Sulawesi; Mining company concession",Aquatic ecosystem
castilhos2006,Abstract,v0.2.0-alpha,"mercury bio-accumulation in fish",mercury_bio_accumulation,No,"mercury bio-accumulation in fish",human_health,"By using the single-compartment model to estimate mercury levels in blood and hair from daily intake dose, sub-area P4 showed the highest levels, higher than the upper limit guideline for pregnant women, but still lower than threshold levels associated with observed clinical effects.",Yes,Subject→Object,Negative,"Mining company concession",Population-specific,,Probable,"Note, mercury accumulation enough to exceed guidelines for pregnant women, but not enough to hospitalize people; [2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional fish + sediment + human-hair mercury sampling at ASGM site",Observation,Association,"Indonesia, Talawanan watershed, North Sulawesi",Country,"2003-2004 sampling",snapshot,"Indonesia, Talawanan watershed, North Sulawesi; Mining company concession",Aquatic ecosystem
castilhos2006,Introduction,v0.2.0-alpha,"dry season",dry_season,No,"gold mining",miner_influx,"Traditionally, the 150,000 inhabitants have relied on coconut, clove and nutmeg plantations, as well as fish farming. In 2003, when this study was initiated, there were 10,000 artisanal gold miners working the Talawaan river, a number that swells during the dry season (Limbong et al., 2003).",Yes,Subject→Object,Positive,"Mining company concession",Population-specific,,Probable,"Site specific information about dry season / wet season dynamics; [2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional fish + sediment + human-hair mercury sampling at ASGM site",Observation,Association,"Indonesia, Talawanan watershed, North Sulawesi",Country,"2003-2004 sampling",snapshot,"Indonesia, Talawanan watershed, North Sulawesi; Mining company concession",Aquatic ecosystem
castilhos2006,Introduction,v0.2.0-alpha,"gold mining",gold_mining,No,"amalgamation + cyanidation",mercury_use,"There are some 400 gold processing units in the area which produce roughly 300 kg Au/year by using amalgamation followed by cyanidation, releasing an estimated 20–30 tonnes Hg/year.",Yes,Subject→Object,Positive,"Mining company concession",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional fish + sediment + human-hair mercury sampling at ASGM site",Observation,Association,"Indonesia, Talawanan watershed, North Sulawesi",Country,"2003-2004 sampling",snapshot,"Indonesia, Talawanan watershed, North Sulawesi; Mining company concession",Aquatic ecosystem
castilhos2006,Introduction,v0.2.0-alpha,"amalgamation + cyanidation",mercury_use,No,"mercury pollution",atmospheric_mercury_pollution,"There are some 400 gold processing units in the area which produce roughly 300 kg Au/year by using amalgamation followed by cyanidation, releasing an estimated 20–30 tonnes Hg/year.",Yes,Subject→Object,Positive,"Mining company concession",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional fish + sediment + human-hair mercury sampling at ASGM site",Observation,Association,"Indonesia, Talawanan watershed, North Sulawesi",Country,"2003-2004 sampling",snapshot,"Indonesia, Talawanan watershed, North Sulawesi; Mining company concession",Aquatic ecosystem
castilhos2006,Introduction,v0.2.0-alpha,"amalgalm burning",mercury_use,No,"atmospheric mercury pollution",atmospheric_mercury_pollution,"Mercury excess is recovered in a plastic bowl followed by manual filtering of the amalgam in a piece of canvas. The resulting amalgam is retorted or simply burned in open air. Martens (2000) visited 133 milling operations in the Tatelu region and estimated an average of 15 kg/month/milling unit of mercury lost to the environment, reaching up to 72 tonnes Hg/year. A unit with 12 mills recovers 4–6 g of gold per cycle (0.3–0.5 g Au/mill). Millers operate 8 h/day, 6 days a week (Veiga, 2003).",Yes,Subject→Object,Positive,"Mining company concession",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional fish + sediment + human-hair mercury sampling at ASGM site",Observation,Association,"Indonesia, Talawanan watershed, North Sulawesi",Country,"2003-2004 sampling",snapshot,"Indonesia, Talawanan watershed, North Sulawesi; Mining company concession",Aquatic ecosystem
castilhos2006,Introduction,v0.2.0-alpha,"amalgalm burning",mercury_use,No,"contaminated amalgamation wastes",mercury_contaminated_tailings,"This entire process generates amalgamation wastes highly contaminated with finely dispersed Hg droplets.",Yes,Subject→Object,Positive,"Mining company concession",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional fish + sediment + human-hair mercury sampling at ASGM site",Observation,Association,"Indonesia, Talawanan watershed, North Sulawesi",Country,"2003-2004 sampling",snapshot,"Indonesia, Talawanan watershed, North Sulawesi; Mining company concession",Aquatic ecosystem
castilhos2006,Introduction,v0.2.0-alpha,"cyanidation",cyanide_use,No,"bioavailability of hg in aquatic systems",cyanide_pollution,"Exacerbating the situation, miners also use cyanide to recover residual gold from these contaminated wastes—a procedure believed to increase the bioavailability of Hg in aquatic systems.  Gunson and Veiga (2004) investigated the effects of leaching Hg-contaminated tailings through cyanidation and have observed that cyanidation tailings presents less Hg than the original amalgamation tailings, while a large portion of the Hg is water-soluble and much more bioavailable than metallic mercury.",Yes,Subject→Object,Positive,"Mining company concession",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cross-sectional fish + sediment + human-hair mercury sampling at ASGM site",Observation,Association,"Indonesia, Talawanan watershed, North Sulawesi",Country,"2003-2004 sampling",snapshot,"Indonesia, Talawanan watershed, North Sulawesi; Mining company concession",Aquatic ecosystem
