paper_id,paper_section,version,subject_raw,subject_code,subject_trend_only,object_raw,object_code,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,temporal_scope_code,population_raw,population_code
asner2016,Abstract,v0.2.0-alpha,"gold mining",gold_mining,No,"deforestation",deforestation_and_forest_degradation,"Gold mining in Amazonia involves forest removal, soil excavation, and the use of liquid mercury, which together pose a major threat to biodiversity, water quality, forest carbon stocks, and human health.",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cumulative remote-sensing forest-loss mapping (Landsat) + multi-period overlay",Statistical modelling,Association,"Peru, Madre de Dios",Country,"1985-2017 cumulative",multi-year,"Peru, Madre de Dios; Informal / ASGM",Terrestrial ecosystem
asner2016,Abstract,v0.2.0-alpha,"gold mining",gold_mining,No,"soil excavation",soil_excavation_and_erosion,"Gold mining in Amazonia involves forest removal, soil excavation, and the use of liquid mercury, which together pose a major threat to biodiversity, water quality, forest carbon stocks, and human health.",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cumulative remote-sensing forest-loss mapping (Landsat) + multi-period overlay",Statistical modelling,Association,"Peru, Madre de Dios",Country,"1985-2017 cumulative",multi-year,"Peru, Madre de Dios; Informal / ASGM",Terrestrial ecosystem
asner2016,Abstract,v0.2.0-alpha,"gold mining",gold_mining,No,"mercury pollution",mercury_use,"Gold mining in Amazonia involves forest removal, soil excavation, and the use of liquid mercury, which together pose a major threat to biodiversity, water quality, forest carbon stocks, and human health.",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cumulative remote-sensing forest-loss mapping (Landsat) + multi-period overlay",Statistical modelling,Association,"Peru, Madre de Dios",Country,"1985-2017 cumulative",multi-year,"Peru, Madre de Dios; Informal / ASGM",Aquatic ecosystem
asner2016,Abstract,v0.2.0-alpha,"gold mining",gold_mining,No,"protected area encroachment",protected_areas,"Mining is now also thought to have entered federally protected areas",Yes,Subject→Object,Negative,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cumulative remote-sensing forest-loss mapping (Landsat) + multi-period overlay",Statistical modelling,Association,"Peru, Madre de Dios",Country,"1985-2017 cumulative",multi-year,"Peru, Madre de Dios; Informal / ASGM",Terrestrial ecosystem
asner2016,Abstract,v0.2.0-alpha,"gold mining",gold_mining,No,"deforestation",deforestation_and_forest_degradation,"Regionally, gold mining-related losses of forest averaged 4437 ha yr−1",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cumulative remote-sensing forest-loss mapping (Landsat) + multi-period overlay",Statistical modelling,Association,"Peru, Madre de Dios",Country,"1985-2017 cumulative",multi-year,"Peru, Madre de Dios; Informal / ASGM",Terrestrial ecosystem
asner2016,Introduction,v0.2.0-alpha,"financial crisis",economic_instability,No,"higher gold prices",gold_prices,"In the southern Peruvian Amazon region of Madre de Dios, a global biodiversity hotspot (Myers et al 2000), multiple factors have propelled increasing levels of informal (sometimes called artisanal), and mostly illegal, gold mining. First, the 2008 global recession bolstered gold prices, and Madre de Dios exports about 70% of Peru's artisanal gold production to international markets (Swenson et al 2011).",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cumulative remote-sensing forest-loss mapping (Landsat) + multi-period overlay",Statistical modelling,Association,"Peru, Madre de Dios",Country,"1985-2017 cumulative",multi-year,"Peru, Madre de Dios; Informal / ASGM",Human
asner2016,Introduction,v0.2.0-alpha,"higher gold prices",gold_prices,No,"gold mining",gold_mining,"In the southern Peruvian Amazon region of Madre de Dios, a global biodiversity hotspot (Myers et al 2000), multiple factors have propelled increasing levels of informal (sometimes called artisanal), and mostly illegal, gold mining. First, the 2008 global recession bolstered gold prices, and Madre de Dios exports about 70% of Peru's artisanal gold production to international markets (Swenson et al 2011).",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cumulative remote-sensing forest-loss mapping (Landsat) + multi-period overlay",Statistical modelling,Association,"Peru, Madre de Dios",Country,"1985-2017 cumulative",multi-year,"Peru, Madre de Dios; Informal / ASGM",Human
asner2016,Introduction,v0.2.0-alpha,"road creation",road_creation,No,"in-migration",miner_influx,"Second, paving of the Interoceanic Highway through Madre de Dios greatly increased roadway access to forests and prime gold mining sites (Asner et al 2010).",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cumulative remote-sensing forest-loss mapping (Landsat) + multi-period overlay",Statistical modelling,Association,"Peru, Madre de Dios",Country,"1985-2017 cumulative",multi-year,"Peru, Madre de Dios; Informal / ASGM",Terrestrial ecosystem
asner2016,Introduction,v0.2.0-alpha,"in-migration",miner_influx,No,"gold mining",gold_mining,"Second, paving of the Interoceanic Highway through Madre de Dios greatly increased roadway access to forests and prime gold mining sites (Asner et al 2010).",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cumulative remote-sensing forest-loss mapping (Landsat) + multi-period overlay",Statistical modelling,Association,"Peru, Madre de Dios",Country,"1985-2017 cumulative",multi-year,"Peru, Madre de Dios; Informal / ASGM",Terrestrial ecosystem
asner2016,Introduction,v0.2.0-alpha,"socio-economic pressure to mine",economic_instability,No,"miner organization",mining_lobbies,"Fourth, social and economic pressure to prospect for gold has led to increased organization among miners, supported by local and regional political leaders, which has protected miner activities (Fraser 2009).",Yes,Subject→Object,Positive,"Informal / ASGM",Population-specific,,Probable,"[2022-migration] derived from prior manual coding workbook",Not reported,narrative only,Not reported,Not reported,Not reported,Original to this study,,"Cumulative remote-sensing forest-loss mapping (Landsat) + multi-period overlay",Statistical modelling,Association,"Peru, Madre de Dios",Country,"1985-2017 cumulative",multi-year,"Peru, Madre de Dios; Informal / ASGM",Human
